 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: 171113transmon_trace_brgOdd
 Data is De-embedded 
 Data File Written: 11/14/2017 13:10:59
Project Date: 11/14/2017 11:57:26
R 51.90000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
Lj = 15.24
Gap = 16.0
Width = 10.0
Pwidth = 2000.0
Dist = 400.0
8.71400000,0.077032,-174.1,0.996672,-84.00,0.996672,-84.00,0.077032,-174.5
8.71400200,0.077072,-174.1,0.996669,-84.01,0.996669,-84.01,0.077072,-174.5
8.71400400,0.077112,-174.1,0.996665,-84.01,0.996665,-84.01,0.077112,-174.5
8.71400600,0.077152,-174.1,0.996662,-84.01,0.996662,-84.01,0.077152,-174.5
8.71400800,0.077192,-174.1,0.996658,-84.01,0.996658,-84.01,0.077192,-174.5
8.71401000,0.077232,-174.1,0.996655,-84.02,0.996655,-84.02,0.077232,-174.5
8.71401200,0.077272,-174.1,0.996651,-84.02,0.996651,-84.02,0.077272,-174.5
8.71401400,0.077312,-174.1,0.996648,-84.02,0.996648,-84.02,0.077312,-174.5
8.71401600,0.077352,-174.1,0.996644,-84.02,0.996644,-84.02,0.077352,-174.5
8.71401800,0.077392,-174.1,0.996641,-84.03,0.996641,-84.03,0.077392,-174.5
8.71402000,0.077433,-174.1,0.996637,-84.03,0.996637,-84.03,0.077432,-174.5
8.71402200,0.077473,-174.1,0.996634,-84.03,0.996634,-84.03,0.077473,-174.5
8.71402400,0.077513,-174.1,0.996630,-84.03,0.996630,-84.03,0.077513,-174.5
8.71402600,0.077553,-174.1,0.996627,-84.03,0.996627,-84.03,0.077553,-174.5
8.71402800,0.077594,-174.1,0.996623,-84.04,0.996623,-84.04,0.077594,-174.5
8.71403000,0.077634,-174.1,0.996620,-84.04,0.996620,-84.04,0.077634,-174.5
8.71403200,0.077675,-174.1,0.996616,-84.04,0.996616,-84.04,0.077675,-174.5
8.71403400,0.077715,-174.1,0.996612,-84.04,0.996612,-84.04,0.077715,-174.5
8.71403600,0.077756,-174.1,0.996609,-84.05,0.996609,-84.05,0.077756,-174.5
8.71403800,0.077796,-174.1,0.996605,-84.05,0.996605,-84.05,0.077796,-174.5
8.71404000,0.077837,-174.1,0.996602,-84.05,0.996602,-84.05,0.077837,-174.5
8.71404200,0.077878,-174.1,0.996598,-84.05,0.996598,-84.05,0.077878,-174.5
8.71404400,0.077919,-174.1,0.996594,-84.06,0.996594,-84.06,0.077919,-174.5
8.71404600,0.077959,-174.1,0.996591,-84.06,0.996591,-84.06,0.077959,-174.5
