 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: 171114transmon_trace_brg
 Data is De-embedded 
 Data File Written: 11/14/2017 17:48:32
Project Date: 11/14/2017 14:11:39
R 34.87000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
Lj = 15.24
Gap = 14.0
Width = 10.0
Pwidth = 2000.0
Dist = 400.0
8.61500000,0.978582,102.78,0.205832,12.776,0.205832,12.776,0.978582,102.77
8.61500500,0.978582,102.78,0.205833,12.776,0.205833,12.776,0.978582,102.77
8.61501000,0.978581,102.78,0.205833,12.776,0.205833,12.776,0.978582,102.77
8.61501500,0.978581,102.78,0.205833,12.776,0.205833,12.776,0.978581,102.77
8.61502000,0.978581,102.78,0.205834,12.776,0.205834,12.776,0.978581,102.77
8.61502500,0.978581,102.78,0.205834,12.776,0.205834,12.776,0.978581,102.77
8.61503000,0.978581,102.78,0.205835,12.776,0.205835,12.776,0.978581,102.77
8.61503500,0.978581,102.78,0.205835,12.776,0.205835,12.776,0.978581,102.77
8.61504000,0.978581,102.78,0.205835,12.776,0.205835,12.776,0.978581,102.77
8.61504500,0.978581,102.78,0.205836,12.776,0.205836,12.776,0.978581,102.77
8.61505000,0.978581,102.78,0.205836,12.776,0.205836,12.776,0.978581,102.77
8.61505500,0.978581,102.78,0.205836,12.776,0.205836,12.776,0.978581,102.77
8.61506000,0.978581,102.78,0.205837,12.775,0.205837,12.775,0.978581,102.77
8.61506500,0.978581,102.78,0.205837,12.775,0.205837,12.775,0.978581,102.77
8.61507000,0.978580,102.78,0.205838,12.775,0.205838,12.775,0.978581,102.77
8.61507500,0.978580,102.78,0.205838,12.775,0.205838,12.775,0.978580,102.77
8.61508000,0.978580,102.78,0.205838,12.775,0.205838,12.775,0.978580,102.77
8.61508500,0.978580,102.78,0.205839,12.775,0.205839,12.775,0.978580,102.77
8.61509000,0.978580,102.78,0.205839,12.775,0.205839,12.775,0.978580,102.77
8.61509500,0.978580,102.78,0.205839,12.775,0.205839,12.775,0.978580,102.77
8.61510000,0.978580,102.78,0.205840,12.775,0.205840,12.775,0.978580,102.77
8.61510500,0.978580,102.78,0.205840,12.775,0.205840,12.775,0.978580,102.77
8.61511000,0.978580,102.78,0.205841,12.775,0.205841,12.775,0.978580,102.77
8.61511500,0.978580,102.78,0.205841,12.775,0.205841,12.775,0.978580,102.77
8.61512000,0.978580,102.78,0.205841,12.775,0.205841,12.775,0.978580,102.77
8.61512500,0.978580,102.78,0.205842,12.775,0.205842,12.775,0.978580,102.77
8.61513000,0.978579,102.78,0.205842,12.775,0.205842,12.775,0.978580,102.77
8.61513500,0.978579,102.78,0.205843,12.775,0.205843,12.775,0.978579,102.77
8.61514000,0.978579,102.78,0.205843,12.775,0.205843,12.775,0.978579,102.77
8.61514500,0.978579,102.78,0.205843,12.774,0.205843,12.774,0.978579,102.77
8.61515000,0.978579,102.78,0.205844,12.774,0.205844,12.774,0.978579,102.77
8.61515500,0.978579,102.78,0.205844,12.774,0.205844,12.774,0.978579,102.77
8.61516000,0.978579,102.78,0.205844,12.774,0.205844,12.774,0.978579,102.77
8.61516500,0.978579,102.78,0.205845,12.774,0.205845,12.774,0.978579,102.77
8.61517000,0.978579,102.78,0.205845,12.774,0.205845,12.774,0.978579,102.77
8.61517500,0.978579,102.78,0.205846,12.774,0.205846,12.774,0.978579,102.77
8.61518000,0.978579,102.78,0.205846,12.774,0.205846,12.774,0.978579,102.77
8.61518500,0.978579,102.78,0.205846,12.774,0.205846,12.774,0.978579,102.77
8.61519000,0.978579,102.78,0.205847,12.774,0.205847,12.774,0.978579,102.77
8.61519500,0.978578,102.78,0.205847,12.774,0.205847,12.774,0.978578,102.77
8.61520000,0.978578,102.78,0.205848,12.774,0.205848,12.774,0.978578,102.77
8.61520500,0.978578,102.78,0.205848,12.774,0.205848,12.774,0.978578,102.77
8.61521000,0.978578,102.78,0.205848,12.774,0.205848,12.774,0.978578,102.77
8.61521500,0.978578,102.78,0.205849,12.774,0.205849,12.774,0.978578,102.77
8.61522000,0.978578,102.78,0.205849,12.774,0.205849,12.774,0.978578,102.77
8.61522500,0.978578,102.78,0.205850,12.773,0.205850,12.773,0.978578,102.77
8.61523000,0.978578,102.77,0.205850,12.773,0.205850,12.773,0.978578,102.77
8.61523500,0.978578,102.77,0.205850,12.773,0.205850,12.773,0.978578,102.77
8.61524000,0.978578,102.77,0.205851,12.773,0.205851,12.773,0.978578,102.77
8.61524500,0.978578,102.77,0.205851,12.773,0.205851,12.773,0.978578,102.77
8.61525000,0.978577,102.77,0.205852,12.773,0.205852,12.773,0.978578,102.77
8.61525500,0.978577,102.77,0.205852,12.773,0.205852,12.773,0.978577,102.77
8.61526000,0.978577,102.77,0.205852,12.773,0.205852,12.773,0.978577,102.77
8.61526500,0.978577,102.77,0.205853,12.773,0.205853,12.773,0.978577,102.77
8.61527000,0.978577,102.77,0.205853,12.773,0.205853,12.773,0.978577,102.77
8.61527500,0.978577,102.77,0.205854,12.773,0.205854,12.773,0.978577,102.77
8.61528000,0.978577,102.77,0.205854,12.773,0.205854,12.773,0.978577,102.77
8.61528500,0.978577,102.77,0.205854,12.773,0.205854,12.773,0.978577,102.77
8.61529000,0.978577,102.77,0.205855,12.773,0.205855,12.773,0.978577,102.77
8.61529500,0.978577,102.77,0.205855,12.773,0.205855,12.773,0.978577,102.77
8.61530000,0.978577,102.77,0.205856,12.773,0.205856,12.773,0.978577,102.77
8.61530500,0.978577,102.77,0.205856,12.773,0.205856,12.773,0.978577,102.77
8.61531000,0.978576,102.77,0.205856,12.772,0.205856,12.772,0.978577,102.77
8.61531500,0.978576,102.77,0.205857,12.772,0.205857,12.772,0.978576,102.77
8.61532000,0.978576,102.77,0.205857,12.772,0.205857,12.772,0.978576,102.77
8.61532500,0.978576,102.77,0.205858,12.772,0.205858,12.772,0.978576,102.77
8.61533000,0.978576,102.77,0.205858,12.772,0.205858,12.772,0.978576,102.77
8.61533500,0.978576,102.77,0.205858,12.772,0.205858,12.772,0.978576,102.77
8.61534000,0.978576,102.77,0.205859,12.772,0.205859,12.772,0.978576,102.77
8.61534500,0.978576,102.77,0.205859,12.772,0.205859,12.772,0.978576,102.77
8.61535000,0.978576,102.77,0.205860,12.772,0.205860,12.772,0.978576,102.77
8.61535500,0.978576,102.77,0.205860,12.772,0.205860,12.772,0.978576,102.77
8.61536000,0.978576,102.77,0.205860,12.772,0.205860,12.772,0.978576,102.77
8.61536500,0.978576,102.77,0.205861,12.772,0.205861,12.772,0.978576,102.77
8.61537000,0.978575,102.77,0.205861,12.772,0.205861,12.772,0.978576,102.77
8.61537500,0.978575,102.77,0.205862,12.772,0.205862,12.772,0.978575,102.77
8.61538000,0.978575,102.77,0.205862,12.772,0.205862,12.772,0.978575,102.77
8.61538500,0.978575,102.77,0.205862,12.772,0.205862,12.772,0.978575,102.77
8.61539000,0.978575,102.77,0.205863,12.771,0.205863,12.771,0.978575,102.77
8.61539500,0.978575,102.77,0.205863,12.771,0.205863,12.771,0.978575,102.77
8.61540000,0.978575,102.77,0.205864,12.771,0.205864,12.771,0.978575,102.77
8.61540500,0.978575,102.77,0.205864,12.771,0.205864,12.771,0.978575,102.77
8.61541000,0.978575,102.77,0.205864,12.771,0.205864,12.771,0.978575,102.77
8.61541500,0.978575,102.77,0.205865,12.771,0.205865,12.771,0.978575,102.77
8.61542000,0.978575,102.77,0.205865,12.771,0.205865,12.771,0.978575,102.77
8.61542500,0.978574,102.77,0.205866,12.771,0.205866,12.771,0.978575,102.77
8.61543000,0.978574,102.77,0.205866,12.771,0.205866,12.771,0.978574,102.77
8.61543500,0.978574,102.77,0.205866,12.771,0.205866,12.771,0.978574,102.77
8.61544000,0.978574,102.77,0.205867,12.771,0.205867,12.771,0.978574,102.77
8.61544500,0.978574,102.77,0.205867,12.771,0.205867,12.771,0.978574,102.77
8.61545000,0.978574,102.77,0.205868,12.771,0.205868,12.771,0.978574,102.77
8.61545500,0.978574,102.77,0.205868,12.771,0.205868,12.771,0.978574,102.77
