 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: 171113transmon_trace_brgOdd
 Data is De-embedded 
 Data File Written: 11/14/2017 10:45:07
Project Date: 11/13/2017 20:27:28
R 34.87000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
Lj = 15.24
Gap = 16.0
Width = 10.0
Pwidth = 2000.0
Dist = 400.0
8.71000000,0.978094,101.92,0.208134,11.917,0.208134,11.917,0.978095,101.91
8.71000500,0.978094,101.92,0.208135,11.917,0.208135,11.917,0.978094,101.91
8.71001000,0.978094,101.92,0.208135,11.916,0.208135,11.916,0.978094,101.91
8.71001500,0.978094,101.92,0.208135,11.916,0.208135,11.916,0.978094,101.91
8.71002000,0.978094,101.92,0.208136,11.916,0.208136,11.916,0.978094,101.91
8.71002500,0.978094,101.92,0.208136,11.916,0.208136,11.916,0.978094,101.91
8.71003000,0.978094,101.92,0.208136,11.916,0.208136,11.916,0.978094,101.91
8.71003500,0.978094,101.92,0.208137,11.916,0.208137,11.916,0.978094,101.91
8.71004000,0.978094,101.92,0.208137,11.916,0.208137,11.916,0.978094,101.91
8.71004500,0.978094,101.92,0.208138,11.916,0.208138,11.916,0.978094,101.91
8.71005000,0.978094,101.92,0.208138,11.916,0.208138,11.916,0.978094,101.91
8.71005500,0.978094,101.92,0.208138,11.916,0.208138,11.916,0.978094,101.91
8.71006000,0.978093,101.92,0.208139,11.916,0.208139,11.916,0.978094,101.91
8.71006500,0.978093,101.92,0.208139,11.916,0.208139,11.916,0.978093,101.91
8.71007000,0.978093,101.92,0.208140,11.916,0.208140,11.916,0.978093,101.91
8.71007500,0.978093,101.92,0.208140,11.916,0.208140,11.916,0.978093,101.91
8.71008000,0.978093,101.92,0.208140,11.916,0.208140,11.916,0.978093,101.91
8.71008500,0.978093,101.92,0.208141,11.916,0.208141,11.916,0.978093,101.91
8.71009000,0.978093,101.92,0.208141,11.915,0.208141,11.915,0.978093,101.91
8.71009500,0.978093,101.92,0.208141,11.915,0.208141,11.915,0.978093,101.91
8.71010000,0.978093,101.92,0.208142,11.915,0.208142,11.915,0.978093,101.91
8.71010500,0.978093,101.92,0.208142,11.915,0.208142,11.915,0.978093,101.91
8.71011000,0.978093,101.92,0.208143,11.915,0.208143,11.915,0.978093,101.91
8.71011500,0.978093,101.92,0.208143,11.915,0.208143,11.915,0.978093,101.91
8.71012000,0.978092,101.92,0.208143,11.915,0.208143,11.915,0.978093,101.91
8.71012500,0.978092,101.92,0.208144,11.915,0.208144,11.915,0.978092,101.91
