 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: 171113transmon_trace_noBrg
 Data is De-embedded 
 Data File Written: 11/14/2017 14:31:37
Project Date: 11/14/2017 14:04:27
R 34.87000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
Lj = 15.24
Gap = 14.0
Width = 10.0
Pwidth = 2000.0
8.61500000,0.020684,-162.6,0.999739,-71.38,0.999739,-71.38,0.020682,-160.4
8.61500500,0.020695,-162.6,0.999739,-71.38,0.999739,-71.38,0.020694,-160.4
8.61501000,0.020707,-162.6,0.999739,-71.38,0.999739,-71.38,0.020705,-160.4
8.61501500,0.020718,-162.6,0.999739,-71.38,0.999739,-71.38,0.020716,-160.4
8.61502000,0.020730,-162.6,0.999738,-71.38,0.999738,-71.38,0.020728,-160.4
8.61502500,0.020741,-162.6,0.999738,-71.38,0.999738,-71.38,0.020739,-160.4
8.61503000,0.020752,-162.6,0.999738,-71.38,0.999738,-71.38,0.020751,-160.4
8.61503500,0.020764,-162.6,0.999737,-71.38,0.999737,-71.38,0.020762,-160.4
8.61504000,0.020775,-162.6,0.999737,-71.38,0.999737,-71.38,0.020774,-160.4
8.61504500,0.020787,-162.6,0.999737,-71.38,0.999737,-71.38,0.020785,-160.4
8.61505000,0.020798,-162.6,0.999737,-71.38,0.999737,-71.38,0.020797,-160.4
8.61505500,0.020810,-162.6,0.999736,-71.38,0.999736,-71.38,0.020808,-160.4
8.61506000,0.020821,-162.6,0.999736,-71.38,0.999736,-71.38,0.020820,-160.4
8.61506500,0.020833,-162.6,0.999736,-71.38,0.999736,-71.38,0.020831,-160.4
8.61507000,0.020844,-162.6,0.999735,-71.39,0.999735,-71.39,0.020843,-160.4
8.61507500,0.020856,-162.6,0.999735,-71.39,0.999735,-71.39,0.020854,-160.4
8.61508000,0.020867,-162.6,0.999735,-71.39,0.999735,-71.39,0.020866,-160.4
8.61508500,0.020879,-162.6,0.999735,-71.39,0.999735,-71.39,0.020877,-160.4
8.61509000,0.020891,-162.6,0.999734,-71.39,0.999734,-71.39,0.020889,-160.4
8.61509500,0.020902,-162.6,0.999734,-71.39,0.999734,-71.39,0.020901,-160.4
8.61510000,0.020914,-162.6,0.999734,-71.39,0.999734,-71.39,0.020912,-160.4
8.61510500,0.020926,-162.6,0.999733,-71.39,0.999733,-71.39,0.020924,-160.4
8.61511000,0.020937,-162.6,0.999733,-71.39,0.999733,-71.39,0.020935,-160.4
8.61511500,0.020949,-162.6,0.999733,-71.39,0.999733,-71.39,0.020947,-160.4
8.61512000,0.020961,-162.6,0.999732,-71.39,0.999732,-71.39,0.020959,-160.4
8.61512500,0.020972,-162.6,0.999732,-71.39,0.999732,-71.39,0.020971,-160.4
8.61513000,0.020984,-162.6,0.999732,-71.39,0.999732,-71.39,0.020982,-160.4
8.61513500,0.020996,-162.6,0.999732,-71.39,0.999732,-71.39,0.020994,-160.4
8.61514000,0.021007,-162.6,0.999731,-71.40,0.999731,-71.40,0.021006,-160.4
8.61514500,0.021019,-162.6,0.999731,-71.40,0.999731,-71.40,0.021017,-160.4
8.61515000,0.021031,-162.6,0.999731,-71.40,0.999731,-71.40,0.021029,-160.4
8.61515500,0.021043,-162.6,0.999730,-71.40,0.999730,-71.40,0.021041,-160.4
8.61516000,0.021055,-162.6,0.999730,-71.40,0.999730,-71.40,0.021053,-160.4
8.61516500,0.021066,-162.6,0.999730,-71.40,0.999730,-71.40,0.021065,-160.4
8.61517000,0.021078,-162.6,0.999729,-71.40,0.999729,-71.40,0.021076,-160.4
8.61517500,0.021090,-162.6,0.999729,-71.40,0.999729,-71.40,0.021088,-160.4
8.61518000,0.021102,-162.6,0.999729,-71.40,0.999729,-71.40,0.021100,-160.4
8.61518500,0.021114,-162.6,0.999729,-71.40,0.999729,-71.40,0.021112,-160.4
8.61519000,0.021126,-162.6,0.999728,-71.40,0.999728,-71.40,0.021124,-160.4
8.61519500,0.021138,-162.6,0.999728,-71.40,0.999728,-71.40,0.021136,-160.4
8.61520000,0.021150,-162.6,0.999728,-71.40,0.999728,-71.40,0.021148,-160.4
8.61520500,0.021161,-162.6,0.999727,-71.40,0.999727,-71.40,0.021160,-160.4
8.61521000,0.021173,-162.6,0.999727,-71.41,0.999727,-71.41,0.021172,-160.4
8.61521500,0.021185,-162.6,0.999727,-71.41,0.999727,-71.41,0.021184,-160.4
8.61522000,0.021197,-162.6,0.999726,-71.41,0.999726,-71.41,0.021196,-160.4
8.61522500,0.021209,-162.6,0.999726,-71.41,0.999726,-71.41,0.021208,-160.4
8.61523000,0.021221,-162.6,0.999726,-71.41,0.999726,-71.41,0.021220,-160.4
8.61523500,0.021233,-162.6,0.999725,-71.41,0.999725,-71.41,0.021232,-160.4
8.61524000,0.021245,-162.6,0.999725,-71.41,0.999725,-71.41,0.021244,-160.4
8.61524500,0.021257,-162.6,0.999725,-71.41,0.999725,-71.41,0.021256,-160.4
8.61525000,0.021270,-162.6,0.999725,-71.41,0.999725,-71.41,0.021268,-160.4
8.61525500,0.021282,-162.6,0.999724,-71.41,0.999724,-71.41,0.021280,-160.4
8.61526000,0.021294,-162.6,0.999724,-71.41,0.999724,-71.41,0.021292,-160.4
8.61526500,0.021306,-162.6,0.999724,-71.41,0.999724,-71.41,0.021304,-160.4
8.61527000,0.021318,-162.6,0.999723,-71.41,0.999723,-71.41,0.021316,-160.4
8.61527500,0.021330,-162.6,0.999723,-71.41,0.999723,-71.41,0.021328,-160.4
8.61528000,0.021342,-162.6,0.999723,-71.42,0.999723,-71.42,0.021341,-160.4
8.61528500,0.021355,-162.6,0.999722,-71.42,0.999722,-71.42,0.021353,-160.4
8.61529000,0.021367,-162.6,0.999722,-71.42,0.999722,-71.42,0.021365,-160.4
8.61529500,0.021379,-162.6,0.999722,-71.42,0.999722,-71.42,0.021377,-160.4
8.61530000,0.021391,-162.6,0.999721,-71.42,0.999721,-71.42,0.021389,-160.4
8.61530500,0.021403,-162.6,0.999721,-71.42,0.999721,-71.42,0.021402,-160.4
8.61531000,0.021416,-162.6,0.999721,-71.42,0.999721,-71.42,0.021414,-160.4
8.61531500,0.021428,-162.6,0.999720,-71.42,0.999720,-71.42,0.021426,-160.4
8.61532000,0.021440,-162.6,0.999720,-71.42,0.999720,-71.42,0.021438,-160.4
8.61532500,0.021453,-162.6,0.999720,-71.42,0.999720,-71.42,0.021451,-160.4
8.61533000,0.021465,-162.6,0.999719,-71.42,0.999719,-71.42,0.021463,-160.5
8.61533500,0.021477,-162.6,0.999719,-71.42,0.999719,-71.42,0.021475,-160.5
8.61534000,0.021490,-162.6,0.999719,-71.42,0.999719,-71.42,0.021488,-160.5
8.61534500,0.021502,-162.6,0.999718,-71.43,0.999718,-71.43,0.021500,-160.5
8.61535000,0.021514,-162.6,0.999718,-71.43,0.999718,-71.43,0.021513,-160.5
8.61535500,0.021527,-162.6,0.999718,-71.43,0.999718,-71.43,0.021525,-160.5
8.61536000,0.021539,-162.6,0.999717,-71.43,0.999717,-71.43,0.021537,-160.5
8.61536500,0.021552,-162.6,0.999717,-71.43,0.999717,-71.43,0.021550,-160.5
8.61537000,0.021564,-162.6,0.999717,-71.43,0.999717,-71.43,0.021562,-160.5
8.61537500,0.021576,-162.6,0.999716,-71.43,0.999716,-71.43,0.021575,-160.5
8.61538000,0.021589,-162.6,0.999716,-71.43,0.999716,-71.43,0.021587,-160.5
8.61538500,0.021601,-162.6,0.999716,-71.43,0.999716,-71.43,0.021600,-160.5
8.61539000,0.021614,-162.6,0.999716,-71.43,0.999716,-71.43,0.021612,-160.5
8.61539500,0.021626,-162.6,0.999715,-71.43,0.999715,-71.43,0.021625,-160.5
8.61540000,0.021639,-162.6,0.999715,-71.43,0.999715,-71.43,0.021637,-160.5
8.61540500,0.021652,-162.6,0.999715,-71.43,0.999715,-71.43,0.021650,-160.5
8.61541000,0.021664,-162.6,0.999714,-71.43,0.999714,-71.43,0.021662,-160.5
8.61541500,0.021677,-162.6,0.999714,-71.44,0.999714,-71.44,0.021675,-160.5
