 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: Waveguide
 Data is De-embedded 
 Data File Written: 09/22/2017 10:29:17
Project Date: 09/22/2017 10:03:33
R 50.00000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
4.00000000,0.001495,77.818,0.999998,-12.20,0.999998,-12.20,0.001495,77.818
4.00500000,0.001497,77.802,0.999998,-12.22,0.999998,-12.22,0.001497,77.802
4.01000000,0.001499,77.787,0.999998,-12.23,0.999998,-12.23,0.001499,77.787
4.01500000,0.001501,77.772,0.999998,-12.25,0.999998,-12.25,0.001501,77.772
4.02000000,0.001503,77.756,0.999998,-12.26,0.999998,-12.26,0.001503,77.756
4.02500000,0.001504,77.741,0.999998,-12.28,0.999998,-12.28,0.001504,77.741
4.03000000,0.001506,77.726,0.999998,-12.29,0.999998,-12.29,0.001506,77.726
4.03500000,0.001508,77.711,0.999998,-12.31,0.999998,-12.31,0.001508,77.711
4.04000000,0.001510,77.695,0.999998,-12.32,0.999998,-12.32,0.001510,77.695
4.04500000,0.001512,77.680,0.999998,-12.34,0.999998,-12.34,0.001512,77.680
4.05000000,0.001514,77.665,0.999998,-12.35,0.999998,-12.35,0.001514,77.665
4.05500000,0.001515,77.649,0.999998,-12.37,0.999998,-12.37,0.001515,77.649
4.06000000,0.001517,77.634,0.999998,-12.38,0.999998,-12.38,0.001517,77.634
4.06500000,0.001519,77.619,0.999998,-12.40,0.999998,-12.40,0.001519,77.619
4.07000000,0.001521,77.604,0.999998,-12.41,0.999998,-12.41,0.001521,77.604
4.07500000,0.001523,77.588,0.999998,-12.43,0.999998,-12.43,0.001523,77.588
4.08000000,0.001524,77.573,0.999998,-12.45,0.999998,-12.45,0.001524,77.573
4.08500000,0.001526,77.558,0.999998,-12.46,0.999998,-12.46,0.001526,77.558
4.09000000,0.001528,77.543,0.999998,-12.48,0.999998,-12.48,0.001528,77.543
4.09500000,0.001530,77.527,0.999998,-12.49,0.999998,-12.49,0.001530,77.527
4.10000000,0.001532,77.512,0.999998,-12.51,0.999998,-12.51,0.001532,77.512
4.10500000,0.001534,77.497,0.999998,-12.52,0.999998,-12.52,0.001534,77.497
4.11000000,0.001535,77.481,0.999998,-12.54,0.999998,-12.54,0.001535,77.481
4.11500000,0.001537,77.466,0.999998,-12.55,0.999998,-12.55,0.001537,77.466
4.12000000,0.001539,77.451,0.999998,-12.57,0.999998,-12.57,0.001539,77.451
4.12500000,0.001541,77.436,0.999998,-12.58,0.999998,-12.58,0.001541,77.436
4.13000000,0.001543,77.420,0.999998,-12.60,0.999998,-12.60,0.001543,77.420
4.13500000,0.001545,77.405,0.999998,-12.61,0.999998,-12.61,0.001545,77.405
4.14000000,0.001546,77.390,0.999998,-12.63,0.999998,-12.63,0.001546,77.390
4.14500000,0.001548,77.375,0.999998,-12.64,0.999998,-12.64,0.001548,77.375
4.15000000,0.001550,77.359,0.999998,-12.66,0.999998,-12.66,0.001550,77.359
4.15500000,0.001552,77.344,0.999998,-12.67,0.999998,-12.67,0.001552,77.344
4.16000000,0.001554,77.329,0.999998,-12.69,0.999998,-12.69,0.001554,77.329
4.16500000,0.001556,77.314,0.999998,-12.70,0.999998,-12.70,0.001556,77.314
4.17000000,0.001557,77.298,0.999998,-12.72,0.999998,-12.72,0.001557,77.298
