 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: Waveguide
 Data is De-embedded 
 Data File Written: 09/21/2017 16:45:23
Project Date: 09/21/2017 16:23:02
R 50.00000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
4.00000000,0.002026,77.814,0.999997,-12.20,0.999997,-12.20,0.002026,77.814
4.00500000,0.002028,77.799,0.999997,-12.21,0.999997,-12.21,0.002028,77.799
4.01000000,0.002031,77.784,0.999997,-12.23,0.999997,-12.23,0.002031,77.784
4.01500000,0.002033,77.768,0.999997,-12.25,0.999997,-12.25,0.002033,77.768
4.02000000,0.002036,77.753,0.999997,-12.26,0.999997,-12.26,0.002036,77.753
4.02500000,0.002038,77.738,0.999997,-12.28,0.999997,-12.28,0.002038,77.738
4.03000000,0.002041,77.722,0.999997,-12.29,0.999997,-12.29,0.002041,77.722
4.03500000,0.002043,77.707,0.999997,-12.31,0.999997,-12.31,0.002043,77.707
4.04000000,0.002046,77.692,0.999997,-12.32,0.999997,-12.32,0.002046,77.692
4.04500000,0.002048,77.677,0.999997,-12.34,0.999997,-12.34,0.002048,77.677
4.05000000,0.002051,77.661,0.999997,-12.35,0.999997,-12.35,0.002051,77.661
4.05500000,0.002053,77.646,0.999997,-12.37,0.999997,-12.37,0.002053,77.646
4.06000000,0.002056,77.631,0.999997,-12.38,0.999997,-12.38,0.002056,77.631
4.06500000,0.002058,77.615,0.999997,-12.40,0.999997,-12.40,0.002058,77.615
4.07000000,0.002061,77.600,0.999997,-12.41,0.999997,-12.41,0.002061,77.600
4.07500000,0.002063,77.585,0.999997,-12.43,0.999997,-12.43,0.002063,77.585
4.08000000,0.002066,77.570,0.999997,-12.44,0.999997,-12.44,0.002066,77.570
4.08500000,0.002068,77.554,0.999997,-12.46,0.999997,-12.46,0.002068,77.554
4.09000000,0.002071,77.539,0.999997,-12.47,0.999997,-12.47,0.002071,77.539
4.09500000,0.002073,77.524,0.999997,-12.49,0.999997,-12.49,0.002073,77.524
4.10000000,0.002076,77.508,0.999997,-12.50,0.999997,-12.50,0.002076,77.508
4.10500000,0.002078,77.493,0.999997,-12.52,0.999997,-12.52,0.002078,77.493
4.11000000,0.002081,77.478,0.999997,-12.53,0.999997,-12.53,0.002081,77.478
4.11500000,0.002083,77.463,0.999997,-12.55,0.999997,-12.55,0.002083,77.463
4.12000000,0.002086,77.447,0.999997,-12.57,0.999997,-12.57,0.002086,77.447
4.12500000,0.002088,77.432,0.999997,-12.58,0.999997,-12.58,0.002088,77.432
4.13000000,0.002091,77.417,0.999997,-12.60,0.999997,-12.60,0.002091,77.417
4.13500000,0.002093,77.401,0.999997,-12.61,0.999997,-12.61,0.002093,77.401
4.14000000,0.002096,77.386,0.999997,-12.63,0.999997,-12.63,0.002096,77.386
4.14500000,0.002098,77.371,0.999997,-12.64,0.999997,-12.64,0.002098,77.371
4.15000000,0.002101,77.356,0.999997,-12.66,0.999997,-12.66,0.002101,77.356
4.15500000,0.002103,77.340,0.999997,-12.67,0.999997,-12.67,0.002103,77.340
4.16000000,0.002106,77.325,0.999997,-12.69,0.999997,-12.69,0.002106,77.325
4.16500000,0.002108,77.310,0.999997,-12.70,0.999997,-12.70,0.002108,77.310
4.17000000,0.002111,77.295,0.999997,-12.72,0.999997,-12.72,0.002111,77.295
4.17500000,0.002113,77.279,0.999997,-12.73,0.999997,-12.73,0.002113,77.279
4.18000000,0.002115,77.264,0.999997,-12.75,0.999997,-12.75,0.002115,77.264
4.18500000,0.002118,77.249,0.999997,-12.76,0.999997,-12.76,0.002118,77.249
