 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: Waveguide
 Data is De-embedded 
 Data File Written: 09/22/2017 12:33:14
Project Date: 09/22/2017 11:33:21
R 50.00000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
4.00000000,0.999996,-55.55,6.189e-5,-39.26,6.189e-5,-39.26,1.000000,157.03
4.02000000,0.999996,-55.82,6.250e-5,-39.46,6.250e-5,-39.46,1.000000,156.91
4.04000000,0.999996,-56.10,6.312e-5,-39.65,6.312e-5,-39.65,1.000001,156.80
4.06000000,0.999996,-56.38,6.374e-5,-39.85,6.374e-5,-39.85,1.000001,156.68
4.08000000,0.999996,-56.65,6.435e-5,-40.04,6.435e-5,-40.04,1.000001,156.57
4.10000000,0.999996,-56.93,6.498e-5,-40.24,6.498e-5,-40.24,1.000001,156.45
4.12000000,0.999996,-57.21,6.560e-5,-40.44,6.560e-5,-40.44,1.000002,156.34
4.14000000,0.999996,-57.48,6.622e-5,-40.63,6.622e-5,-40.63,1.000002,156.22
4.16000000,0.999996,-57.76,6.685e-5,-40.83,6.685e-5,-40.83,1.000002,156.11
4.18000000,0.999996,-58.03,6.748e-5,-41.03,6.748e-5,-41.03,1.000002,155.99
4.20000000,0.999996,-58.31,6.811e-5,-41.22,6.811e-5,-41.22,1.000002,155.87
4.22000000,0.999996,-58.59,6.875e-5,-41.42,6.875e-5,-41.42,1.000002,155.76
4.24000000,0.999996,-58.86,6.939e-5,-41.61,6.939e-5,-41.61,1.000002,155.64
4.26000000,0.999996,-59.14,7.003e-5,-41.81,7.003e-5,-41.81,1.000002,155.53
4.28000000,0.999996,-59.42,7.067e-5,-42.00,7.067e-5,-42.00,1.000002,155.41
4.30000000,0.999996,-59.69,7.131e-5,-42.20,7.131e-5,-42.20,1.000002,155.30
4.32000000,0.999996,-59.97,7.196e-5,-42.40,7.196e-5,-42.40,1.000002,155.18
4.34000000,0.999996,-60.24,7.261e-5,-42.59,7.261e-5,-42.59,1.000002,155.07
4.36000000,0.999996,-60.52,7.326e-5,-42.79,7.326e-5,-42.79,1.000002,154.95
4.38000000,0.999996,-60.80,7.391e-5,-42.98,7.391e-5,-42.98,1.000002,154.84
4.40000000,0.999996,-61.07,7.457e-5,-43.18,7.457e-5,-43.18,1.000001,154.72
4.42000000,0.999996,-61.35,7.523e-5,-43.37,7.523e-5,-43.37,1.000001,154.61
4.44000000,0.999996,-61.62,7.589e-5,-43.57,7.589e-5,-43.57,1.000001,154.49
4.46000000,0.999996,-61.90,7.656e-5,-43.77,7.656e-5,-43.77,1.000001,154.37
4.48000000,0.999996,-62.18,7.722e-5,-43.96,7.722e-5,-43.96,1.000001,154.26
4.50000000,0.999995,-62.45,7.789e-5,-44.16,7.789e-5,-44.16,1.000001,154.14
