 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: Waveguide2
 Data is De-embedded 
 Data File Written: 09/22/2017 10:45:39
Project Date: 09/22/2017 10:30:38
R 50.00000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
4.00000000,0.092403,-103.4,0.995721,-13.37,0.995721,-13.37,0.092403,-103.4
4.00500000,0.092516,-103.4,0.995711,-13.38,0.995711,-13.38,0.092516,-103.4
4.01000000,0.092629,-103.4,0.995700,-13.40,0.995700,-13.40,0.092629,-103.4
4.01500000,0.092742,-103.4,0.995690,-13.42,0.995690,-13.42,0.092742,-103.4
4.02000000,0.092855,-103.4,0.995679,-13.43,0.995679,-13.43,0.092855,-103.4
4.02500000,0.092968,-103.4,0.995669,-13.45,0.995669,-13.45,0.092968,-103.4
4.03000000,0.093081,-103.5,0.995658,-13.47,0.995658,-13.47,0.093081,-103.5
4.03500000,0.093193,-103.5,0.995648,-13.48,0.995648,-13.48,0.093193,-103.5
4.04000000,0.093306,-103.5,0.995637,-13.50,0.995637,-13.50,0.093306,-103.5
4.04500000,0.093419,-103.5,0.995627,-13.51,0.995627,-13.51,0.093419,-103.5
4.05000000,0.093532,-103.5,0.995616,-13.53,0.995616,-13.53,0.093532,-103.5
4.05500000,0.093645,-103.5,0.995606,-13.55,0.995606,-13.55,0.093645,-103.5
4.06000000,0.093757,-103.6,0.995595,-13.56,0.995595,-13.56,0.093758,-103.6
4.06500000,0.093870,-103.6,0.995585,-13.58,0.995585,-13.58,0.093870,-103.6
4.07000000,0.093983,-103.6,0.995574,-13.60,0.995574,-13.60,0.093983,-103.6
4.07500000,0.094096,-103.6,0.995563,-13.61,0.995563,-13.61,0.094096,-103.6
4.08000000,0.094208,-103.6,0.995553,-13.63,0.995553,-13.63,0.094209,-103.6
4.08500000,0.094321,-103.6,0.995542,-13.65,0.995542,-13.65,0.094321,-103.6
4.09000000,0.094434,-103.7,0.995532,-13.66,0.995532,-13.66,0.094434,-103.7
4.09500000,0.094547,-103.7,0.995521,-13.68,0.995521,-13.68,0.094547,-103.7
4.10000000,0.094659,-103.7,0.995510,-13.70,0.995510,-13.70,0.094659,-103.7
4.10500000,0.094772,-103.7,0.995500,-13.71,0.995500,-13.71,0.094772,-103.7
4.11000000,0.094885,-103.7,0.995489,-13.73,0.995489,-13.73,0.094885,-103.7
