 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: Waveguide
 Data is De-embedded 
 Data File Written: 09/21/2017 15:54:02
Project Date: 09/21/2017 15:37:57
R 50.00000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
4.00000000,0.014658,-102.3,0.999892,-12.29,0.999892,-12.29,0.014658,-102.3
4.00500000,0.014676,-102.3,0.999892,-12.30,0.999892,-12.30,0.014676,-102.3
4.01000000,0.014694,-102.3,0.999892,-12.32,0.999892,-12.32,0.014694,-102.3
4.01500000,0.014712,-102.3,0.999891,-12.33,0.999891,-12.33,0.014712,-102.3
4.02000000,0.014730,-102.3,0.999891,-12.35,0.999891,-12.35,0.014730,-102.3
4.02500000,0.014748,-102.4,0.999891,-12.36,0.999891,-12.36,0.014748,-102.4
4.03000000,0.014766,-102.4,0.999890,-12.38,0.999890,-12.38,0.014766,-102.4
4.03500000,0.014784,-102.4,0.999890,-12.39,0.999890,-12.39,0.014784,-102.4
4.04000000,0.014803,-102.4,0.999890,-12.41,0.999890,-12.41,0.014803,-102.4
4.04500000,0.014821,-102.4,0.999890,-12.42,0.999890,-12.42,0.014821,-102.4
4.05000000,0.014839,-102.4,0.999889,-12.44,0.999889,-12.44,0.014839,-102.4
4.05500000,0.014857,-102.5,0.999889,-12.45,0.999889,-12.45,0.014857,-102.5
4.06000000,0.014875,-102.5,0.999889,-12.47,0.999889,-12.47,0.014875,-102.5
4.06500000,0.014893,-102.5,0.999889,-12.49,0.999889,-12.49,0.014893,-102.5
4.07000000,0.014911,-102.5,0.999888,-12.50,0.999888,-12.50,0.014911,-102.5
4.07500000,0.014929,-102.5,0.999888,-12.52,0.999888,-12.52,0.014929,-102.5
4.08000000,0.014947,-102.5,0.999888,-12.53,0.999888,-12.53,0.014947,-102.5
4.08500000,0.014965,-102.5,0.999887,-12.55,0.999887,-12.55,0.014965,-102.5
4.09000000,0.014983,-102.6,0.999887,-12.56,0.999887,-12.56,0.014983,-102.6
4.09500000,0.015001,-102.6,0.999887,-12.58,0.999887,-12.58,0.015001,-102.6
4.10000000,0.015019,-102.6,0.999887,-12.59,0.999887,-12.59,0.015019,-102.6
4.10500000,0.015037,-102.6,0.999886,-12.61,0.999886,-12.61,0.015037,-102.6
4.11000000,0.015055,-102.6,0.999886,-12.62,0.999886,-12.62,0.015055,-102.6
4.11500000,0.015073,-102.6,0.999886,-12.64,0.999886,-12.64,0.015073,-102.6
4.12000000,0.015091,-102.7,0.999886,-12.65,0.999886,-12.65,0.015091,-102.7
4.12500000,0.015109,-102.7,0.999885,-12.67,0.999885,-12.67,0.015109,-102.7
4.13000000,0.015127,-102.7,0.999885,-12.69,0.999885,-12.69,0.015127,-102.7
4.13500000,0.015145,-102.7,0.999885,-12.70,0.999885,-12.70,0.015145,-102.7
4.14000000,0.015163,-102.7,0.999884,-12.72,0.999884,-12.72,0.015163,-102.7
4.14500000,0.015181,-102.7,0.999884,-12.73,0.999884,-12.73,0.015181,-102.7
4.15000000,0.015199,-102.7,0.999884,-12.75,0.999884,-12.75,0.015199,-102.7
4.15500000,0.015217,-102.8,0.999884,-12.76,0.999884,-12.76,0.015217,-102.8
4.16000000,0.015235,-102.8,0.999883,-12.78,0.999883,-12.78,0.015235,-102.8
4.16500000,0.015253,-102.8,0.999883,-12.79,0.999883,-12.79,0.015253,-102.8
4.17000000,0.015271,-102.8,0.999883,-12.81,0.999883,-12.81,0.015271,-102.8
4.17500000,0.015289,-102.8,0.999883,-12.82,0.999883,-12.82,0.015289,-102.8
4.18000000,0.015307,-102.8,0.999882,-12.84,0.999882,-12.84,0.015307,-102.8
4.18500000,0.015325,-102.9,0.999882,-12.85,0.999882,-12.85,0.015325,-102.9
4.19000000,0.015343,-102.9,0.999882,-12.87,0.999882,-12.87,0.015343,-102.9
4.19500000,0.015362,-102.9,0.999881,-12.88,0.999881,-12.88,0.015362,-102.9
4.20000000,0.015380,-102.9,0.999881,-12.90,0.999881,-12.90,0.015380,-102.9
4.20500000,0.015398,-102.9,0.999881,-12.92,0.999881,-12.92,0.015398,-102.9
4.21000000,0.015416,-102.9,0.999881,-12.93,0.999881,-12.93,0.015416,-102.9
4.21500000,0.015434,-102.9,0.999880,-12.95,0.999880,-12.95,0.015434,-102.9
4.22000000,0.015452,-103.0,0.999880,-12.96,0.999880,-12.96,0.015452,-103.0
4.22500000,0.015470,-103.0,0.999880,-12.98,0.999880,-12.98,0.015470,-103.0
4.23000000,0.015488,-103.0,0.999879,-12.99,0.999879,-12.99,0.015488,-103.0
4.23500000,0.015506,-103.0,0.999879,-13.01,0.999879,-13.01,0.015506,-103.0
4.24000000,0.015524,-103.0,0.999879,-13.02,0.999879,-13.02,0.015524,-103.0
4.24500000,0.015542,-103.0,0.999879,-13.04,0.999879,-13.04,0.015542,-103.0
4.25000000,0.015560,-103.1,0.999878,-13.05,0.999878,-13.05,0.015560,-103.1
4.25500000,0.015578,-103.1,0.999878,-13.07,0.999878,-13.07,0.015578,-103.1
4.26000000,0.015596,-103.1,0.999878,-13.08,0.999878,-13.08,0.015596,-103.1
4.26500000,0.015614,-103.1,0.999878,-13.10,0.999878,-13.10,0.015614,-103.1
4.27000000,0.015632,-103.1,0.999877,-13.12,0.999877,-13.12,0.015632,-103.1
4.27500000,0.015650,-103.1,0.999877,-13.13,0.999877,-13.13,0.015650,-103.1
4.28000000,0.015668,-103.1,0.999877,-13.15,0.999877,-13.15,0.015668,-103.1
4.28500000,0.015686,-103.2,0.999876,-13.16,0.999876,-13.16,0.015686,-103.2
4.29000000,0.015704,-103.2,0.999876,-13.18,0.999876,-13.18,0.015704,-103.2
4.29500000,0.015722,-103.2,0.999876,-13.19,0.999876,-13.19,0.015722,-103.2
4.30000000,0.015740,-103.2,0.999876,-13.21,0.999876,-13.21,0.015740,-103.2
4.30500000,0.015758,-103.2,0.999875,-13.22,0.999875,-13.22,0.015758,-103.2
4.31000000,0.015776,-103.2,0.999875,-13.24,0.999875,-13.24,0.015776,-103.2
4.31500000,0.015794,-103.3,0.999875,-13.25,0.999875,-13.25,0.015794,-103.3
4.32000000,0.015812,-103.3,0.999874,-13.27,0.999874,-13.27,0.015812,-103.3
4.32500000,0.015830,-103.3,0.999874,-13.28,0.999874,-13.28,0.015830,-103.3
4.33000000,0.015848,-103.3,0.999874,-13.30,0.999874,-13.30,0.015848,-103.3
4.33500000,0.015865,-103.3,0.999874,-13.31,0.999874,-13.31,0.015865,-103.3
4.34000000,0.015883,-103.3,0.999873,-13.33,0.999873,-13.33,0.015883,-103.3
4.34500000,0.015901,-103.3,0.999873,-13.35,0.999873,-13.35,0.015901,-103.3
4.35000000,0.015919,-103.4,0.999873,-13.36,0.999873,-13.36,0.015919,-103.4
4.35500000,0.015937,-103.4,0.999872,-13.38,0.999872,-13.38,0.015937,-103.4
4.36000000,0.015955,-103.4,0.999872,-13.39,0.999872,-13.39,0.015955,-103.4
4.36500000,0.015973,-103.4,0.999872,-13.41,0.999872,-13.41,0.015973,-103.4
4.37000000,0.015991,-103.4,0.999872,-13.42,0.999872,-13.42,0.015991,-103.4
4.37500000,0.016009,-103.4,0.999871,-13.44,0.999871,-13.44,0.016009,-103.4
4.38000000,0.016027,-103.5,0.999871,-13.45,0.999871,-13.45,0.016027,-103.5
4.38500000,0.016045,-103.5,0.999871,-13.47,0.999871,-13.47,0.016045,-103.5
4.39000000,0.016063,-103.5,0.999870,-13.48,0.999870,-13.48,0.016063,-103.5
4.39500000,0.016081,-103.5,0.999870,-13.50,0.999870,-13.50,0.016081,-103.5
4.40000000,0.016099,-103.5,0.999870,-13.51,0.999870,-13.51,0.016099,-103.5
4.40500000,0.016117,-103.5,0.999870,-13.53,0.999870,-13.53,0.016117,-103.5
4.41000000,0.016135,-103.5,0.999869,-13.55,0.999869,-13.55,0.016135,-103.5
4.41500000,0.016153,-103.6,0.999869,-13.56,0.999869,-13.56,0.016153,-103.6
4.42000000,0.016171,-103.6,0.999869,-13.58,0.999869,-13.58,0.016171,-103.6
4.42500000,0.016189,-103.6,0.999868,-13.59,0.999868,-13.59,0.016189,-103.6
4.43000000,0.016207,-103.6,0.999868,-13.61,0.999868,-13.61,0.016207,-103.6
4.43500000,0.016225,-103.6,0.999868,-13.62,0.999868,-13.62,0.016225,-103.6
4.44000000,0.016243,-103.6,0.999867,-13.64,0.999867,-13.64,0.016243,-103.6
4.44500000,0.016261,-103.7,0.999867,-13.65,0.999867,-13.65,0.016261,-103.7
4.45000000,0.016279,-103.7,0.999867,-13.67,0.999867,-13.67,0.016279,-103.7
4.45500000,0.016297,-103.7,0.999867,-13.68,0.999867,-13.68,0.016297,-103.7
4.46000000,0.016315,-103.7,0.999866,-13.70,0.999866,-13.70,0.016315,-103.7
4.46500000,0.016333,-103.7,0.999866,-13.71,0.999866,-13.71,0.016333,-103.7
4.47000000,0.016351,-103.7,0.999866,-13.73,0.999866,-13.73,0.016351,-103.7
4.47500000,0.016369,-103.7,0.999865,-13.74,0.999865,-13.74,0.016369,-103.7
4.48000000,0.016387,-103.8,0.999865,-13.76,0.999865,-13.76,0.016387,-103.8
4.48500000,0.016405,-103.8,0.999865,-13.78,0.999865,-13.78,0.016405,-103.8
4.49000000,0.016422,-103.8,0.999865,-13.79,0.999865,-13.79,0.016422,-103.8
4.49500000,0.016440,-103.8,0.999864,-13.81,0.999864,-13.81,0.016440,-103.8
4.50000000,0.016458,-103.8,0.999864,-13.82,0.999864,-13.82,0.016458,-103.8
4.50500000,0.016476,-103.8,0.999864,-13.84,0.999864,-13.84,0.016476,-103.8
4.51000000,0.016494,-103.9,0.999863,-13.85,0.999863,-13.85,0.016494,-103.9
4.51500000,0.016512,-103.9,0.999863,-13.87,0.999863,-13.87,0.016512,-103.9
4.52000000,0.016530,-103.9,0.999863,-13.88,0.999863,-13.88,0.016530,-103.9
4.52500000,0.016548,-103.9,0.999862,-13.90,0.999862,-13.90,0.016548,-103.9
4.53000000,0.016566,-103.9,0.999862,-13.91,0.999862,-13.91,0.016566,-103.9
4.53500000,0.016584,-103.9,0.999862,-13.93,0.999862,-13.93,0.016584,-103.9
4.54000000,0.016602,-103.9,0.999862,-13.94,0.999862,-13.94,0.016602,-103.9
4.54500000,0.016620,-104.0,0.999861,-13.96,0.999861,-13.96,0.016620,-104.0
4.55000000,0.016638,-104.0,0.999861,-13.98,0.999861,-13.98,0.016638,-104.0
4.55500000,0.016656,-104.0,0.999861,-13.99,0.999861,-13.99,0.016656,-104.0
4.56000000,0.016674,-104.0,0.999860,-14.01,0.999860,-14.01,0.016674,-104.0
4.56500000,0.016692,-104.0,0.999860,-14.02,0.999860,-14.02,0.016692,-104.0
4.57000000,0.016709,-104.0,0.999860,-14.04,0.999860,-14.04,0.016709,-104.0
4.57500000,0.016727,-104.1,0.999859,-14.05,0.999859,-14.05,0.016727,-104.1
4.58000000,0.016745,-104.1,0.999859,-14.07,0.999859,-14.07,0.016745,-104.1
4.58500000,0.016763,-104.1,0.999859,-14.08,0.999859,-14.08,0.016763,-104.1
4.59000000,0.016781,-104.1,0.999859,-14.10,0.999859,-14.10,0.016781,-104.1
4.59500000,0.016799,-104.1,0.999858,-14.11,0.999858,-14.11,0.016799,-104.1
4.60000000,0.016817,-104.1,0.999858,-14.13,0.999858,-14.13,0.016817,-104.1
4.60500000,0.016835,-104.1,0.999858,-14.14,0.999858,-14.14,0.016835,-104.1
4.61000000,0.016853,-104.2,0.999857,-14.16,0.999857,-14.16,0.016853,-104.2
4.61500000,0.016871,-104.2,0.999857,-14.17,0.999857,-14.17,0.016871,-104.2
4.62000000,0.016889,-104.2,0.999857,-14.19,0.999857,-14.19,0.016889,-104.2
4.62500000,0.016907,-104.2,0.999856,-14.21,0.999856,-14.21,0.016907,-104.2
4.63000000,0.016925,-104.2,0.999856,-14.22,0.999856,-14.22,0.016925,-104.2
4.63500000,0.016942,-104.2,0.999856,-14.24,0.999856,-14.24,0.016942,-104.2
4.64000000,0.016960,-104.3,0.999856,-14.25,0.999856,-14.25,0.016960,-104.3
4.64500000,0.016978,-104.3,0.999855,-14.27,0.999855,-14.27,0.016978,-104.3
4.65000000,0.016996,-104.3,0.999855,-14.28,0.999855,-14.28,0.016996,-104.3
4.65500000,0.017014,-104.3,0.999855,-14.30,0.999855,-14.30,0.017014,-104.3
4.66000000,0.017032,-104.3,0.999854,-14.31,0.999854,-14.31,0.017032,-104.3
4.66500000,0.017050,-104.3,0.999854,-14.33,0.999854,-14.33,0.017050,-104.3
4.67000000,0.017068,-104.3,0.999854,-14.34,0.999854,-14.34,0.017068,-104.3
4.67500000,0.017086,-104.4,0.999853,-14.36,0.999853,-14.36,0.017086,-104.4
4.68000000,0.017104,-104.4,0.999853,-14.37,0.999853,-14.37,0.017104,-104.4
4.68500000,0.017122,-104.4,0.999853,-14.39,0.999853,-14.39,0.017122,-104.4
4.69000000,0.017139,-104.4,0.999852,-14.41,0.999852,-14.41,0.017139,-104.4
4.69500000,0.017157,-104.4,0.999852,-14.42,0.999852,-14.42,0.017157,-104.4
4.70000000,0.017175,-104.4,0.999852,-14.44,0.999852,-14.44,0.017175,-104.4
4.70500000,0.017193,-104.5,0.999852,-14.45,0.999852,-14.45,0.017193,-104.5
4.71000000,0.017211,-104.5,0.999851,-14.47,0.999851,-14.47,0.017211,-104.5
4.71500000,0.017229,-104.5,0.999851,-14.48,0.999851,-14.48,0.017229,-104.5
4.72000000,0.017247,-104.5,0.999851,-14.50,0.999851,-14.50,0.017247,-104.5
4.72500000,0.017265,-104.5,0.999850,-14.51,0.999850,-14.51,0.017265,-104.5
4.73000000,0.017283,-104.5,0.999850,-14.53,0.999850,-14.53,0.017283,-104.5
4.73500000,0.017301,-104.5,0.999850,-14.54,0.999850,-14.54,0.017301,-104.5
4.74000000,0.017318,-104.6,0.999849,-14.56,0.999849,-14.56,0.017318,-104.6
4.74500000,0.017336,-104.6,0.999849,-14.57,0.999849,-14.57,0.017336,-104.6
4.75000000,0.017354,-104.6,0.999849,-14.59,0.999849,-14.59,0.017354,-104.6
4.75500000,0.017372,-104.6,0.999848,-14.60,0.999848,-14.60,0.017372,-104.6
4.76000000,0.017390,-104.6,0.999848,-14.62,0.999848,-14.62,0.017390,-104.6
4.76500000,0.017408,-104.6,0.999848,-14.64,0.999848,-14.64,0.017408,-104.6
4.77000000,0.017426,-104.7,0.999848,-14.65,0.999848,-14.65,0.017426,-104.7
4.77500000,0.017444,-104.7,0.999847,-14.67,0.999847,-14.67,0.017444,-104.7
4.78000000,0.017462,-104.7,0.999847,-14.68,0.999847,-14.68,0.017462,-104.7
4.78500000,0.017479,-104.7,0.999847,-14.70,0.999847,-14.70,0.017479,-104.7
4.79000000,0.017497,-104.7,0.999846,-14.71,0.999846,-14.71,0.017497,-104.7
4.79500000,0.017515,-104.7,0.999846,-14.73,0.999846,-14.73,0.017515,-104.7
4.80000000,0.017533,-104.7,0.999846,-14.74,0.999846,-14.74,0.017533,-104.7
4.80500000,0.017551,-104.8,0.999845,-14.76,0.999845,-14.76,0.017551,-104.8
4.81000000,0.017569,-104.8,0.999845,-14.77,0.999845,-14.77,0.017569,-104.8
