 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: Waveguide
 Data is De-embedded 
 Data File Written: 09/21/2017 16:19:03
Project Date: 09/21/2017 16:00:54
R 50.00000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
4.00000000,0.495490,177.43,0.499480,-12.69,0.499480,-12.69,0.495490,177.43
4.00500000,0.495479,177.43,0.499479,-12.70,0.499479,-12.70,0.495479,177.43
4.01000000,0.495468,177.42,0.499477,-12.72,0.499477,-12.72,0.495468,177.42
4.01500000,0.495456,177.42,0.499476,-12.73,0.499476,-12.73,0.495456,177.42
4.02000000,0.495445,177.42,0.499475,-12.75,0.499475,-12.75,0.495445,177.42
4.02500000,0.495434,177.41,0.499473,-12.77,0.499473,-12.77,0.495434,177.41
4.03000000,0.495423,177.41,0.499472,-12.78,0.499472,-12.78,0.495423,177.41
4.03500000,0.495412,177.41,0.499471,-12.80,0.499471,-12.80,0.495412,177.41
4.04000000,0.495400,177.40,0.499470,-12.81,0.499470,-12.81,0.495400,177.40
4.04500000,0.495389,177.40,0.499468,-12.83,0.499468,-12.83,0.495389,177.40
4.05000000,0.495378,177.40,0.499467,-12.85,0.499467,-12.85,0.495378,177.40
4.05500000,0.495367,177.40,0.499466,-12.86,0.499466,-12.86,0.495366,177.40
4.06000000,0.495355,177.39,0.499464,-12.88,0.499464,-12.88,0.495355,177.39
4.06500000,0.495344,177.39,0.499463,-12.89,0.499463,-12.89,0.495344,177.39
4.07000000,0.495333,177.39,0.499462,-12.91,0.499462,-12.91,0.495333,177.39
4.07500000,0.495321,177.38,0.499460,-12.92,0.499460,-12.92,0.495321,177.38
4.08000000,0.495310,177.38,0.499459,-12.94,0.499459,-12.94,0.495310,177.38
4.08500000,0.495298,177.38,0.499458,-12.96,0.499458,-12.96,0.495298,177.38
4.09000000,0.495287,177.37,0.499457,-12.97,0.499457,-12.97,0.495287,177.37
4.09500000,0.495276,177.37,0.499455,-12.99,0.499455,-12.99,0.495276,177.37
4.10000000,0.495264,177.37,0.499454,-13.00,0.499454,-13.00,0.495264,177.37
4.10500000,0.495253,177.36,0.499453,-13.02,0.499453,-13.02,0.495253,177.36
4.11000000,0.495241,177.36,0.499451,-13.04,0.499451,-13.04,0.495241,177.36
4.11500000,0.495230,177.36,0.499450,-13.05,0.499450,-13.05,0.495230,177.36
4.12000000,0.495219,177.36,0.499449,-13.07,0.499449,-13.07,0.495219,177.36
4.12500000,0.495207,177.35,0.499447,-13.08,0.499447,-13.08,0.495207,177.35
4.13000000,0.495196,177.35,0.499446,-13.10,0.499446,-13.10,0.495196,177.35
4.13500000,0.495184,177.35,0.499445,-13.11,0.499445,-13.11,0.495184,177.35
4.14000000,0.495173,177.34,0.499443,-13.13,0.499443,-13.13,0.495173,177.34
4.14500000,0.495161,177.34,0.499442,-13.15,0.499442,-13.15,0.495161,177.34
4.15000000,0.495150,177.34,0.499441,-13.16,0.499441,-13.16,0.495150,177.34
4.15500000,0.495138,177.33,0.499439,-13.18,0.499439,-13.18,0.495138,177.33
4.16000000,0.495126,177.33,0.499438,-13.19,0.499438,-13.19,0.495126,177.33
4.16500000,0.495115,177.33,0.499437,-13.21,0.499437,-13.21,0.495115,177.33
4.17000000,0.495103,177.33,0.499435,-13.23,0.499435,-13.23,0.495103,177.33
4.17500000,0.495092,177.32,0.499434,-13.24,0.499434,-13.24,0.495092,177.32
4.18000000,0.495080,177.32,0.499433,-13.26,0.499433,-13.26,0.495080,177.32
4.18500000,0.495068,177.32,0.499431,-13.27,0.499431,-13.27,0.495068,177.32
4.19000000,0.495057,177.31,0.499430,-13.29,0.499430,-13.29,0.495057,177.31
4.19500000,0.495045,177.31,0.499429,-13.30,0.499429,-13.30,0.495045,177.31
4.20000000,0.495033,177.31,0.499427,-13.32,0.499427,-13.32,0.495033,177.31
4.20500000,0.495022,177.30,0.499426,-13.34,0.499426,-13.34,0.495022,177.30
4.21000000,0.495010,177.30,0.499425,-13.35,0.499425,-13.35,0.495010,177.30
4.21500000,0.494998,177.30,0.499423,-13.37,0.499423,-13.37,0.494998,177.30
4.22000000,0.494987,177.29,0.499422,-13.38,0.499422,-13.38,0.494987,177.29
4.22500000,0.494975,177.29,0.499421,-13.40,0.499421,-13.40,0.494975,177.29
4.23000000,0.494963,177.29,0.499419,-13.42,0.499419,-13.42,0.494963,177.29
4.23500000,0.494951,177.29,0.499418,-13.43,0.499418,-13.43,0.494951,177.29
4.24000000,0.494940,177.28,0.499416,-13.45,0.499416,-13.45,0.494940,177.28
4.24500000,0.494928,177.28,0.499415,-13.46,0.499415,-13.46,0.494928,177.28
4.25000000,0.494916,177.28,0.499414,-13.48,0.499414,-13.48,0.494916,177.28
4.25500000,0.494904,177.27,0.499412,-13.49,0.499412,-13.49,0.494904,177.27
4.26000000,0.494892,177.27,0.499411,-13.51,0.499411,-13.51,0.494892,177.27
4.26500000,0.494880,177.27,0.499410,-13.53,0.499410,-13.53,0.494880,177.27
4.27000000,0.494869,177.26,0.499408,-13.54,0.499408,-13.54,0.494869,177.26
4.27500000,0.494857,177.26,0.499407,-13.56,0.499407,-13.56,0.494857,177.26
4.28000000,0.494845,177.26,0.499406,-13.57,0.499406,-13.57,0.494845,177.26
4.28500000,0.494833,177.26,0.499404,-13.59,0.499404,-13.59,0.494833,177.26
4.29000000,0.494821,177.25,0.499403,-13.61,0.499403,-13.61,0.494821,177.25
4.29500000,0.494809,177.25,0.499401,-13.62,0.499401,-13.62,0.494809,177.25
4.30000000,0.494797,177.25,0.499400,-13.64,0.499400,-13.64,0.494797,177.25
4.30500000,0.494785,177.24,0.499399,-13.65,0.499399,-13.65,0.494785,177.24
4.31000000,0.494773,177.24,0.499397,-13.67,0.499397,-13.67,0.494773,177.24
4.31500000,0.494761,177.24,0.499396,-13.69,0.499396,-13.69,0.494761,177.24
4.32000000,0.494749,177.23,0.499395,-13.70,0.499395,-13.70,0.494749,177.23
4.32500000,0.494737,177.23,0.499393,-13.72,0.499393,-13.72,0.494737,177.23
4.33000000,0.494725,177.23,0.499392,-13.73,0.499392,-13.73,0.494725,177.23
4.33500000,0.494713,177.22,0.499390,-13.75,0.499390,-13.75,0.494713,177.22
4.34000000,0.494701,177.22,0.499389,-13.76,0.499389,-13.76,0.494701,177.22
4.34500000,0.494689,177.22,0.499388,-13.78,0.499388,-13.78,0.494689,177.22
4.35000000,0.494677,177.22,0.499386,-13.80,0.499386,-13.80,0.494677,177.22
4.35500000,0.494665,177.21,0.499385,-13.81,0.499385,-13.81,0.494665,177.21
4.36000000,0.494653,177.21,0.499383,-13.83,0.499383,-13.83,0.494653,177.21
4.36500000,0.494641,177.21,0.499382,-13.84,0.499382,-13.84,0.494641,177.21
4.37000000,0.494629,177.20,0.499381,-13.86,0.499381,-13.86,0.494629,177.20
4.37500000,0.494617,177.20,0.499379,-13.88,0.499379,-13.88,0.494617,177.20
4.38000000,0.494605,177.20,0.499378,-13.89,0.499378,-13.89,0.494605,177.20
4.38500000,0.494592,177.19,0.499377,-13.91,0.499377,-13.91,0.494592,177.19
4.39000000,0.494580,177.19,0.499375,-13.92,0.499375,-13.92,0.494580,177.19
4.39500000,0.494568,177.19,0.499374,-13.94,0.499374,-13.94,0.494568,177.19
4.40000000,0.494556,177.19,0.499372,-13.95,0.499372,-13.95,0.494556,177.19
4.40500000,0.494544,177.18,0.499371,-13.97,0.499371,-13.97,0.494544,177.18
4.41000000,0.494531,177.18,0.499369,-13.99,0.499369,-13.99,0.494531,177.18
4.41500000,0.494519,177.18,0.499368,-14.00,0.499368,-14.00,0.494519,177.18
4.42000000,0.494507,177.17,0.499367,-14.02,0.499367,-14.02,0.494507,177.17
4.42500000,0.494495,177.17,0.499365,-14.03,0.499365,-14.03,0.494495,177.17
4.43000000,0.494482,177.17,0.499364,-14.05,0.499364,-14.05,0.494482,177.17
4.43500000,0.494470,177.16,0.499362,-14.07,0.499362,-14.07,0.494470,177.16
4.44000000,0.494458,177.16,0.499361,-14.08,0.499361,-14.08,0.494458,177.16
4.44500000,0.494446,177.16,0.499360,-14.10,0.499360,-14.10,0.494446,177.16
4.45000000,0.494433,177.16,0.499358,-14.11,0.499358,-14.11,0.494433,177.16
4.45500000,0.494421,177.15,0.499357,-14.13,0.499357,-14.13,0.494421,177.15
4.46000000,0.494409,177.15,0.499355,-14.14,0.499355,-14.14,0.494409,177.15
4.46500000,0.494396,177.15,0.499354,-14.16,0.499354,-14.16,0.494396,177.15
4.47000000,0.494384,177.14,0.499353,-14.18,0.499353,-14.18,0.494384,177.14
4.47500000,0.494371,177.14,0.499351,-14.19,0.499351,-14.19,0.494371,177.14
4.48000000,0.494359,177.14,0.499350,-14.21,0.499350,-14.21,0.494359,177.14
4.48500000,0.494347,177.13,0.499348,-14.22,0.499348,-14.22,0.494347,177.13
4.49000000,0.494334,177.13,0.499347,-14.24,0.499347,-14.24,0.494334,177.13
4.49500000,0.494322,177.13,0.499345,-14.26,0.499345,-14.26,0.494322,177.13
4.50000000,0.494309,177.13,0.499344,-14.27,0.499344,-14.27,0.494309,177.13
4.50500000,0.494297,177.12,0.499343,-14.29,0.499343,-14.29,0.494297,177.12
4.51000000,0.494284,177.12,0.499341,-14.30,0.499341,-14.30,0.494284,177.12
4.51500000,0.494272,177.12,0.499340,-14.32,0.499340,-14.32,0.494272,177.12
4.52000000,0.494259,177.11,0.499338,-14.33,0.499338,-14.33,0.494259,177.11
4.52500000,0.494247,177.11,0.499337,-14.35,0.499337,-14.35,0.494247,177.11
4.53000000,0.494234,177.11,0.499335,-14.37,0.499335,-14.37,0.494234,177.11
4.53500000,0.494222,177.10,0.499334,-14.38,0.499334,-14.38,0.494222,177.10
4.54000000,0.494209,177.10,0.499332,-14.40,0.499332,-14.40,0.494209,177.10
4.54500000,0.494197,177.10,0.499331,-14.41,0.499331,-14.41,0.494197,177.10
4.55000000,0.494184,177.10,0.499330,-14.43,0.499330,-14.43,0.494184,177.10
4.55500000,0.494171,177.09,0.499328,-14.45,0.499328,-14.45,0.494171,177.09
4.56000000,0.494159,177.09,0.499327,-14.46,0.499327,-14.46,0.494159,177.09
4.56500000,0.494146,177.09,0.499325,-14.48,0.499325,-14.48,0.494146,177.09
4.57000000,0.494134,177.08,0.499324,-14.49,0.499324,-14.49,0.494134,177.08
4.57500000,0.494121,177.08,0.499322,-14.51,0.499322,-14.51,0.494121,177.08
4.58000000,0.494108,177.08,0.499321,-14.52,0.499321,-14.52,0.494108,177.08
4.58500000,0.494096,177.07,0.499319,-14.54,0.499319,-14.54,0.494096,177.07
4.59000000,0.494083,177.07,0.499318,-14.56,0.499318,-14.56,0.494083,177.07
4.59500000,0.494070,177.07,0.499316,-14.57,0.499316,-14.57,0.494070,177.07
4.60000000,0.494057,177.07,0.499315,-14.59,0.499315,-14.59,0.494057,177.07
4.60500000,0.494045,177.06,0.499314,-14.60,0.499314,-14.60,0.494045,177.06
4.61000000,0.494032,177.06,0.499312,-14.62,0.499312,-14.62,0.494032,177.06
4.61500000,0.494019,177.06,0.499311,-14.64,0.499311,-14.64,0.494019,177.06
4.62000000,0.494006,177.05,0.499309,-14.65,0.499309,-14.65,0.494006,177.05
4.62500000,0.493994,177.05,0.499308,-14.67,0.499308,-14.67,0.493994,177.05
4.63000000,0.493981,177.05,0.499306,-14.68,0.499306,-14.68,0.493981,177.05
4.63500000,0.493968,177.04,0.499305,-14.70,0.499305,-14.70,0.493968,177.04
4.64000000,0.493955,177.04,0.499303,-14.71,0.499303,-14.71,0.493955,177.04
4.64500000,0.493942,177.04,0.499302,-14.73,0.499302,-14.73,0.493942,177.04
4.65000000,0.493930,177.04,0.499300,-14.75,0.499300,-14.75,0.493930,177.04
4.65500000,0.493917,177.03,0.499299,-14.76,0.499299,-14.76,0.493917,177.03
4.66000000,0.493904,177.03,0.499297,-14.78,0.499297,-14.78,0.493904,177.03
4.66500000,0.493891,177.03,0.499296,-14.79,0.499296,-14.79,0.493891,177.03
4.67000000,0.493878,177.02,0.499294,-14.81,0.499294,-14.81,0.493878,177.02
4.67500000,0.493865,177.02,0.499293,-14.83,0.499293,-14.83,0.493865,177.02
4.68000000,0.493852,177.02,0.499291,-14.84,0.499291,-14.84,0.493852,177.02
4.68500000,0.493839,177.01,0.499290,-14.86,0.499290,-14.86,0.493839,177.01
4.69000000,0.493826,177.01,0.499288,-14.87,0.499288,-14.87,0.493826,177.01
4.69500000,0.493813,177.01,0.499287,-14.89,0.499287,-14.89,0.493813,177.01
4.70000000,0.493801,177.01,0.499285,-14.90,0.499285,-14.90,0.493801,177.01
4.70500000,0.493788,177.00,0.499284,-14.92,0.499284,-14.92,0.493788,177.00
