 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: Waveguide2
 Data is De-embedded 
 Data File Written: 09/21/2017 14:50:06
Project Date: 09/21/2017 14:47:43
R 50.00000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
4.00000000,0.070392,-97.37,0.997519,-7.373,0.997519,-7.373,0.070392,-97.37
4.00500000,0.070479,-97.38,0.997513,-7.382,0.997513,-7.382,0.070479,-97.38
4.01000000,0.070566,-97.39,0.997507,-7.391,0.997507,-7.391,0.070566,-97.39
4.01500000,0.070653,-97.40,0.997500,-7.400,0.997500,-7.400,0.070653,-97.40
4.02000000,0.070740,-97.41,0.997494,-7.410,0.997494,-7.410,0.070740,-97.41
4.02500000,0.070828,-97.42,0.997488,-7.419,0.997488,-7.419,0.070828,-97.42
4.03000000,0.070915,-97.43,0.997482,-7.428,0.997482,-7.428,0.070915,-97.43
4.03500000,0.071002,-97.44,0.997476,-7.437,0.997476,-7.437,0.071002,-97.44
4.04000000,0.071089,-97.45,0.997469,-7.446,0.997469,-7.446,0.071089,-97.45
4.04500000,0.071176,-97.46,0.997463,-7.456,0.997463,-7.456,0.071176,-97.46
4.05000000,0.071264,-97.47,0.997457,-7.465,0.997457,-7.465,0.071264,-97.47
4.05500000,0.071351,-97.47,0.997451,-7.474,0.997451,-7.474,0.071351,-97.47
4.06000000,0.071438,-97.48,0.997445,-7.483,0.997445,-7.483,0.071438,-97.48
4.06500000,0.071525,-97.49,0.997438,-7.492,0.997438,-7.492,0.071525,-97.49
4.07000000,0.071612,-97.50,0.997432,-7.501,0.997432,-7.501,0.071612,-97.50
4.07500000,0.071699,-97.51,0.997426,-7.511,0.997426,-7.511,0.071699,-97.51
4.08000000,0.071787,-97.52,0.997420,-7.520,0.997420,-7.520,0.071787,-97.52
4.08500000,0.071874,-97.53,0.997413,-7.529,0.997413,-7.529,0.071874,-97.53
4.09000000,0.071961,-97.54,0.997407,-7.538,0.997407,-7.538,0.071961,-97.54
4.09500000,0.072048,-97.55,0.997401,-7.547,0.997401,-7.547,0.072048,-97.55
4.10000000,0.072135,-97.56,0.997394,-7.557,0.997394,-7.557,0.072135,-97.56
4.10500000,0.072222,-97.57,0.997388,-7.566,0.997388,-7.566,0.072223,-97.57
4.11000000,0.072310,-97.58,0.997382,-7.575,0.997382,-7.575,0.072310,-97.58
4.11500000,0.072397,-97.58,0.997375,-7.584,0.997375,-7.584,0.072397,-97.58
4.12000000,0.072484,-97.59,0.997369,-7.593,0.997369,-7.593,0.072484,-97.59
4.12500000,0.072571,-97.60,0.997363,-7.602,0.997363,-7.602,0.072571,-97.60
4.13000000,0.072658,-97.61,0.997356,-7.612,0.997356,-7.612,0.072658,-97.61
4.13500000,0.072745,-97.62,0.997350,-7.621,0.997350,-7.621,0.072745,-97.62
4.14000000,0.072833,-97.63,0.997344,-7.630,0.997344,-7.630,0.072833,-97.63
4.14500000,0.072920,-97.64,0.997337,-7.639,0.997337,-7.639,0.072920,-97.64
4.15000000,0.073007,-97.65,0.997331,-7.648,0.997331,-7.648,0.073007,-97.65
4.15500000,0.073094,-97.66,0.997325,-7.658,0.997325,-7.658,0.073094,-97.66
4.16000000,0.073181,-97.67,0.997318,-7.667,0.997318,-7.667,0.073181,-97.67
4.16500000,0.073268,-97.68,0.997312,-7.676,0.997312,-7.676,0.073268,-97.68
4.17000000,0.073355,-97.69,0.997305,-7.685,0.997305,-7.685,0.073355,-97.69
4.17500000,0.073442,-97.69,0.997299,-7.694,0.997299,-7.694,0.073442,-97.69
