 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: Waveguide2
 Data is De-embedded 
 Data File Written: 09/21/2017 14:42:32
Project Date: 09/21/2017 14:16:27
R 50.00000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
4.00000000,0.100715,-98.49,0.994915,-8.489,0.994915,-8.489,0.100715,-98.49
4.00500000,0.100840,-98.50,0.994902,-8.500,0.994902,-8.500,0.100840,-98.50
4.01000000,0.100964,-98.51,0.994889,-8.511,0.994889,-8.511,0.100964,-98.51
4.01500000,0.101089,-98.52,0.994877,-8.521,0.994877,-8.521,0.101089,-98.52
4.02000000,0.101213,-98.53,0.994864,-8.532,0.994864,-8.532,0.101213,-98.53
4.02500000,0.101338,-98.54,0.994852,-8.542,0.994852,-8.542,0.101338,-98.54
4.03000000,0.101462,-98.55,0.994839,-8.553,0.994839,-8.553,0.101462,-98.55
4.03500000,0.101587,-98.56,0.994826,-8.563,0.994826,-8.563,0.101587,-98.56
4.04000000,0.101711,-98.58,0.994814,-8.574,0.994814,-8.574,0.101711,-98.58
4.04500000,0.101836,-98.59,0.994801,-8.584,0.994801,-8.584,0.101836,-98.59
4.05000000,0.101960,-98.60,0.994788,-8.595,0.994788,-8.595,0.101960,-98.60
4.05500000,0.102084,-98.61,0.994775,-8.605,0.994775,-8.605,0.102084,-98.61
4.06000000,0.102209,-98.62,0.994763,-8.616,0.994763,-8.616,0.102209,-98.62
4.06500000,0.102333,-98.63,0.994750,-8.627,0.994750,-8.627,0.102333,-98.63
4.07000000,0.102458,-98.64,0.994737,-8.637,0.994737,-8.637,0.102458,-98.64
4.07500000,0.102582,-98.65,0.994724,-8.648,0.994724,-8.648,0.102582,-98.65
4.08000000,0.102706,-98.66,0.994711,-8.658,0.994711,-8.658,0.102706,-98.66
4.08500000,0.102831,-98.67,0.994699,-8.669,0.994699,-8.669,0.102831,-98.67
4.09000000,0.102955,-98.68,0.994686,-8.679,0.994686,-8.679,0.102955,-98.68
4.09500000,0.103079,-98.69,0.994673,-8.690,0.994673,-8.690,0.103079,-98.69
