 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: Waveguide2
 Data is De-embedded 
 Data File Written: 09/21/2017 15:14:22
Project Date: 09/21/2017 15:12:13
R 50.00000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
4.00000000,0.096683,-98.47,0.995315,-8.474,0.995315,-8.474,0.096683,-98.47
4.00500000,0.096803,-98.48,0.995303,-8.484,0.995303,-8.484,0.096803,-98.48
4.01000000,0.096922,-98.49,0.995291,-8.495,0.995291,-8.495,0.096922,-98.49
4.01500000,0.097041,-98.51,0.995280,-8.505,0.995280,-8.505,0.097041,-98.51
4.02000000,0.097160,-98.52,0.995268,-8.516,0.995268,-8.516,0.097160,-98.52
4.02500000,0.097279,-98.53,0.995256,-8.526,0.995256,-8.526,0.097279,-98.53
4.03000000,0.097398,-98.54,0.995245,-8.537,0.995245,-8.537,0.097398,-98.54
4.03500000,0.097518,-98.55,0.995233,-8.547,0.995233,-8.547,0.097518,-98.55
4.04000000,0.097637,-98.56,0.995221,-8.558,0.995221,-8.558,0.097637,-98.56
4.04500000,0.097756,-98.57,0.995210,-8.568,0.995210,-8.568,0.097756,-98.57
4.05000000,0.097875,-98.58,0.995198,-8.579,0.995198,-8.579,0.097875,-98.58
4.05500000,0.097994,-98.59,0.995186,-8.589,0.995186,-8.589,0.097994,-98.59
4.06000000,0.098113,-98.60,0.995175,-8.600,0.995175,-8.600,0.098113,-98.60
4.06500000,0.098232,-98.61,0.995163,-8.610,0.995163,-8.610,0.098232,-98.61
4.07000000,0.098351,-98.62,0.995151,-8.621,0.995151,-8.621,0.098352,-98.62
4.07500000,0.098471,-98.63,0.995139,-8.631,0.995139,-8.631,0.098471,-98.63
4.08000000,0.098590,-98.64,0.995127,-8.642,0.995127,-8.642,0.098590,-98.64
4.08500000,0.098709,-98.65,0.995116,-8.653,0.995116,-8.653,0.098709,-98.65
4.09000000,0.098828,-98.66,0.995104,-8.663,0.995104,-8.663,0.098828,-98.66
4.09500000,0.098947,-98.67,0.995092,-8.674,0.995092,-8.674,0.098947,-98.67
4.10000000,0.099066,-98.68,0.995080,-8.684,0.995080,-8.684,0.099066,-98.68
4.10500000,0.099185,-98.69,0.995068,-8.695,0.995068,-8.695,0.099185,-98.69
4.11000000,0.099304,-98.71,0.995056,-8.705,0.995056,-8.705,0.099304,-98.71
4.11500000,0.099423,-98.72,0.995044,-8.716,0.995044,-8.716,0.099423,-98.72
4.12000000,0.099542,-98.73,0.995032,-8.726,0.995032,-8.726,0.099542,-98.73
4.12500000,0.099661,-98.74,0.995021,-8.737,0.995021,-8.737,0.099661,-98.74
4.13000000,0.099780,-98.75,0.995009,-8.747,0.995009,-8.747,0.099781,-98.75
4.13500000,0.099899,-98.76,0.994997,-8.758,0.994997,-8.758,0.099900,-98.76
4.14000000,0.100018,-98.77,0.994985,-8.768,0.994985,-8.768,0.100019,-98.77
4.14500000,0.100137,-98.78,0.994973,-8.779,0.994973,-8.779,0.100138,-98.78
4.15000000,0.100256,-98.79,0.994961,-8.789,0.994961,-8.789,0.100257,-98.79
4.15500000,0.100375,-98.80,0.994949,-8.800,0.994949,-8.800,0.100376,-98.80
4.16000000,0.100494,-98.81,0.994937,-8.810,0.994937,-8.810,0.100495,-98.81
4.16500000,0.100613,-98.82,0.994925,-8.821,0.994925,-8.821,0.100614,-98.82
4.17000000,0.100732,-98.83,0.994913,-8.831,0.994913,-8.831,0.100733,-98.83
4.17500000,0.100851,-98.84,0.994901,-8.842,0.994901,-8.842,0.100852,-98.84
4.18000000,0.100970,-98.85,0.994888,-8.852,0.994888,-8.852,0.100971,-98.85
4.18500000,0.101089,-98.86,0.994876,-8.863,0.994876,-8.863,0.101090,-98.86
4.19000000,0.101208,-98.87,0.994864,-8.873,0.994864,-8.873,0.101208,-98.87
4.19500000,0.101327,-98.88,0.994852,-8.884,0.994852,-8.884,0.101327,-98.88
4.20000000,0.101446,-98.89,0.994840,-8.894,0.994840,-8.894,0.101446,-98.89
4.20500000,0.101565,-98.90,0.994828,-8.905,0.994828,-8.905,0.101565,-98.90
4.21000000,0.101684,-98.92,0.994816,-8.916,0.994816,-8.916,0.101684,-98.92
4.21500000,0.101803,-98.93,0.994804,-8.926,0.994804,-8.926,0.101803,-98.93
4.22000000,0.101922,-98.94,0.994791,-8.937,0.994791,-8.937,0.101922,-98.94
4.22500000,0.102041,-98.95,0.994779,-8.947,0.994779,-8.947,0.102041,-98.95
4.23000000,0.102160,-98.96,0.994767,-8.958,0.994767,-8.958,0.102160,-98.96
4.23500000,0.102279,-98.97,0.994755,-8.968,0.994755,-8.968,0.102279,-98.97
4.24000000,0.102397,-98.98,0.994742,-8.979,0.994742,-8.979,0.102398,-98.98
4.24500000,0.102516,-98.99,0.994730,-8.989,0.994730,-8.989,0.102517,-98.99
4.25000000,0.102635,-99.00,0.994718,-9.000,0.994718,-9.000,0.102636,-99.00
4.25500000,0.102754,-99.01,0.994706,-9.010,0.994706,-9.010,0.102754,-99.01
4.26000000,0.102873,-99.02,0.994693,-9.021,0.994693,-9.021,0.102873,-99.02
4.26500000,0.102992,-99.03,0.994681,-9.031,0.994681,-9.031,0.102992,-99.03
4.27000000,0.103111,-99.04,0.994669,-9.042,0.994669,-9.042,0.103111,-99.04
4.27500000,0.103230,-99.05,0.994656,-9.052,0.994656,-9.052,0.103230,-99.05
4.28000000,0.103348,-99.06,0.994644,-9.063,0.994644,-9.063,0.103349,-99.06
4.28500000,0.103467,-99.07,0.994632,-9.073,0.994632,-9.073,0.103467,-99.07
4.29000000,0.103586,-99.08,0.994619,-9.084,0.994619,-9.084,0.103586,-99.08
4.29500000,0.103705,-99.09,0.994607,-9.094,0.994607,-9.094,0.103705,-99.09
4.30000000,0.103824,-99.10,0.994595,-9.105,0.994595,-9.105,0.103824,-99.10
4.30500000,0.103942,-99.12,0.994582,-9.115,0.994582,-9.115,0.103943,-99.11
4.31000000,0.104061,-99.13,0.994570,-9.126,0.994570,-9.126,0.104062,-99.13
4.31500000,0.104180,-99.14,0.994557,-9.136,0.994557,-9.136,0.104180,-99.14
4.32000000,0.104299,-99.15,0.994545,-9.147,0.994545,-9.147,0.104299,-99.15
4.32500000,0.104418,-99.16,0.994532,-9.157,0.994532,-9.157,0.104418,-99.16
4.33000000,0.104536,-99.17,0.994520,-9.168,0.994520,-9.168,0.104537,-99.17
4.33500000,0.104655,-99.18,0.994507,-9.178,0.994507,-9.178,0.104655,-99.18
4.34000000,0.104774,-99.19,0.994495,-9.189,0.994495,-9.189,0.104774,-99.19
4.34500000,0.104893,-99.20,0.994482,-9.199,0.994482,-9.199,0.104893,-99.20
4.35000000,0.105011,-99.21,0.994470,-9.210,0.994470,-9.210,0.105012,-99.21
4.35500000,0.105130,-99.22,0.994457,-9.220,0.994457,-9.220,0.105130,-99.22
4.36000000,0.105249,-99.23,0.994445,-9.231,0.994445,-9.231,0.105249,-99.23
4.36500000,0.105368,-99.24,0.994432,-9.241,0.994432,-9.241,0.105368,-99.24
4.37000000,0.105486,-99.25,0.994420,-9.252,0.994420,-9.252,0.105487,-99.25
4.37500000,0.105605,-99.26,0.994407,-9.262,0.994407,-9.262,0.105605,-99.26
4.38000000,0.105724,-99.27,0.994394,-9.273,0.994394,-9.273,0.105724,-99.27
4.38500000,0.105842,-99.28,0.994382,-9.283,0.994382,-9.283,0.105843,-99.28
4.39000000,0.105961,-99.29,0.994369,-9.294,0.994369,-9.294,0.105961,-99.29
4.39500000,0.106080,-99.30,0.994356,-9.304,0.994356,-9.304,0.106080,-99.30
4.40000000,0.106198,-99.31,0.994344,-9.315,0.994344,-9.315,0.106199,-99.31
4.40500000,0.106317,-99.33,0.994331,-9.325,0.994331,-9.325,0.106317,-99.33
4.41000000,0.106436,-99.34,0.994318,-9.336,0.994318,-9.336,0.106436,-99.34
4.41500000,0.106554,-99.35,0.994306,-9.346,0.994306,-9.346,0.106555,-99.35
4.42000000,0.106673,-99.36,0.994293,-9.357,0.994293,-9.357,0.106673,-99.36
4.42500000,0.106792,-99.37,0.994280,-9.367,0.994280,-9.367,0.106792,-99.37
4.43000000,0.106910,-99.38,0.994267,-9.378,0.994267,-9.378,0.106911,-99.38
4.43500000,0.107029,-99.39,0.994255,-9.389,0.994255,-9.389,0.107029,-99.39
4.44000000,0.107148,-99.40,0.994242,-9.399,0.994242,-9.399,0.107148,-99.40
