 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: Waveguide2
 Data is De-embedded 
 Data File Written: 09/21/2017 15:28:58
Project Date: 09/21/2017 15:17:12
R 50.00000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
4.00000000,0.174854,-105.8,0.984593,-15.81,0.984593,-15.81,0.174854,-105.8
4.00500000,0.175063,-105.8,0.984557,-15.83,0.984557,-15.83,0.175063,-105.8
4.01000000,0.175272,-105.9,0.984521,-15.85,0.984521,-15.85,0.175272,-105.9
4.01500000,0.175481,-105.9,0.984484,-15.87,0.984484,-15.87,0.175481,-105.9
4.02000000,0.175689,-105.9,0.984448,-15.89,0.984448,-15.89,0.175689,-105.9
4.02500000,0.175898,-105.9,0.984411,-15.91,0.984411,-15.91,0.175898,-105.9
4.03000000,0.176107,-105.9,0.984375,-15.93,0.984375,-15.93,0.176107,-105.9
4.03500000,0.176316,-106.0,0.984338,-15.95,0.984338,-15.95,0.176316,-106.0
4.04000000,0.176524,-106.0,0.984301,-15.97,0.984301,-15.97,0.176524,-106.0
4.04500000,0.176733,-106.0,0.984264,-15.99,0.984264,-15.99,0.176733,-106.0
4.05000000,0.176942,-106.0,0.984228,-16.01,0.984228,-16.01,0.176942,-106.0
4.05500000,0.177150,-106.0,0.984191,-16.03,0.984191,-16.03,0.177150,-106.0
4.06000000,0.177359,-106.1,0.984154,-16.05,0.984154,-16.05,0.177359,-106.1
4.06500000,0.177567,-106.1,0.984117,-16.07,0.984117,-16.07,0.177567,-106.1
4.07000000,0.177776,-106.1,0.984080,-16.09,0.984080,-16.09,0.177776,-106.1
4.07500000,0.177984,-106.1,0.984043,-16.10,0.984043,-16.10,0.177984,-106.1
4.08000000,0.178192,-106.1,0.984006,-16.12,0.984006,-16.12,0.178192,-106.1
4.08500000,0.178401,-106.2,0.983969,-16.14,0.983969,-16.14,0.178401,-106.2
4.09000000,0.178609,-106.2,0.983932,-16.16,0.983932,-16.16,0.178609,-106.2
4.09500000,0.178817,-106.2,0.983895,-16.18,0.983895,-16.18,0.178817,-106.2
4.10000000,0.179025,-106.2,0.983857,-16.20,0.983857,-16.20,0.179025,-106.2
4.10500000,0.179233,-106.2,0.983820,-16.22,0.983820,-16.22,0.179233,-106.2
4.11000000,0.179442,-106.2,0.983783,-16.24,0.983783,-16.24,0.179442,-106.2
4.11500000,0.179650,-106.3,0.983745,-16.26,0.983745,-16.26,0.179650,-106.3
4.12000000,0.179858,-106.3,0.983708,-16.28,0.983708,-16.28,0.179858,-106.3
4.12500000,0.180066,-106.3,0.983670,-16.30,0.983670,-16.30,0.180066,-106.3
4.13000000,0.180274,-106.3,0.983633,-16.32,0.983633,-16.32,0.180274,-106.3
4.13500000,0.180481,-106.3,0.983595,-16.34,0.983595,-16.34,0.180482,-106.3
4.14000000,0.180689,-106.4,0.983558,-16.36,0.983558,-16.36,0.180689,-106.4
4.14500000,0.180897,-106.4,0.983520,-16.38,0.983520,-16.38,0.180897,-106.4
4.15000000,0.181105,-106.4,0.983482,-16.39,0.983482,-16.39,0.181105,-106.4
4.15500000,0.181313,-106.4,0.983444,-16.41,0.983444,-16.41,0.181313,-106.4
4.16000000,0.181520,-106.4,0.983407,-16.43,0.983407,-16.43,0.181521,-106.4
4.16500000,0.181728,-106.5,0.983369,-16.45,0.983369,-16.45,0.181728,-106.5
4.17000000,0.181936,-106.5,0.983331,-16.47,0.983331,-16.47,0.181936,-106.5
4.17500000,0.182143,-106.5,0.983293,-16.49,0.983293,-16.49,0.182143,-106.5
4.18000000,0.182351,-106.5,0.983255,-16.51,0.983255,-16.51,0.182351,-106.5
4.18500000,0.182558,-106.5,0.983217,-16.53,0.983217,-16.53,0.182558,-106.5
4.19000000,0.182766,-106.6,0.983179,-16.55,0.983179,-16.55,0.182766,-106.6
4.19500000,0.182973,-106.6,0.983141,-16.57,0.983141,-16.57,0.182973,-106.6
4.20000000,0.183181,-106.6,0.983103,-16.59,0.983103,-16.59,0.183181,-106.6
4.20500000,0.183388,-106.6,0.983064,-16.61,0.983064,-16.61,0.183388,-106.6
4.21000000,0.183595,-106.6,0.983026,-16.63,0.983026,-16.63,0.183595,-106.6
4.21500000,0.183803,-106.7,0.982988,-16.65,0.982988,-16.65,0.183803,-106.7
4.22000000,0.184010,-106.7,0.982950,-16.67,0.982950,-16.67,0.184010,-106.7
4.22500000,0.184217,-106.7,0.982911,-16.68,0.982911,-16.68,0.184217,-106.7
4.23000000,0.184424,-106.7,0.982873,-16.70,0.982873,-16.70,0.184424,-106.7
4.23500000,0.184631,-106.7,0.982834,-16.72,0.982834,-16.72,0.184631,-106.7
4.24000000,0.184838,-106.8,0.982796,-16.74,0.982796,-16.74,0.184839,-106.8
4.24500000,0.185045,-106.8,0.982757,-16.76,0.982757,-16.76,0.185046,-106.8
