 Sonnet Data File
 From: emgraph Version : 16.52
 From Project: Waveguide2
 Data is De-embedded 
 Data File Written: 09/21/2017 15:03:43
Project Date: 09/21/2017 14:56:45
R 50.00000
Frequency (GHz),MAG[S11],ANG[S11],MAG[S12],ANG[S12],MAG[S21],ANG[S21],MAG[S22],ANG[S22]
4.00000000,0.100584,-98.48,0.994928,-8.484,0.994928,-8.484,0.100584,-98.48
4.00500000,0.100708,-98.50,0.994915,-8.495,0.994915,-8.495,0.100708,-98.50
4.01000000,0.100832,-98.51,0.994903,-8.505,0.994903,-8.505,0.100832,-98.51
4.01500000,0.100957,-98.52,0.994890,-8.516,0.994890,-8.516,0.100957,-98.52
4.02000000,0.101081,-98.53,0.994878,-8.526,0.994878,-8.526,0.101081,-98.53
4.02500000,0.101205,-98.54,0.994865,-8.537,0.994865,-8.537,0.101205,-98.54
4.03000000,0.101330,-98.55,0.994852,-8.547,0.994852,-8.547,0.101330,-98.55
4.03500000,0.101454,-98.56,0.994840,-8.558,0.994840,-8.558,0.101454,-98.56
4.04000000,0.101578,-98.57,0.994827,-8.569,0.994827,-8.569,0.101578,-98.57
4.04500000,0.101702,-98.58,0.994814,-8.579,0.994814,-8.579,0.101702,-98.58
4.05000000,0.101827,-98.59,0.994802,-8.590,0.994802,-8.590,0.101827,-98.59
4.05500000,0.101951,-98.60,0.994789,-8.600,0.994789,-8.600,0.101951,-98.60
4.06000000,0.102075,-98.61,0.994776,-8.611,0.994776,-8.611,0.102075,-98.61
4.06500000,0.102199,-98.62,0.994764,-8.621,0.994764,-8.621,0.102199,-98.62
4.07000000,0.102324,-98.63,0.994751,-8.632,0.994751,-8.632,0.102324,-98.63
4.07500000,0.102448,-98.64,0.994738,-8.642,0.994738,-8.642,0.102448,-98.64
4.08000000,0.102572,-98.66,0.994725,-8.653,0.994725,-8.653,0.102572,-98.66
4.08500000,0.102696,-98.67,0.994712,-8.663,0.994712,-8.663,0.102696,-98.67
4.09000000,0.102820,-98.68,0.994700,-8.674,0.994700,-8.674,0.102820,-98.68
4.09500000,0.102945,-98.69,0.994687,-8.684,0.994687,-8.684,0.102945,-98.69
4.10000000,0.103069,-98.70,0.994674,-8.695,0.994674,-8.695,0.103069,-98.70
4.10500000,0.103193,-98.71,0.994661,-8.706,0.994661,-8.706,0.103193,-98.71
4.11000000,0.103317,-98.72,0.994648,-8.716,0.994648,-8.716,0.103317,-98.72
4.11500000,0.103441,-98.73,0.994635,-8.727,0.994635,-8.727,0.103441,-98.73
4.12000000,0.103565,-98.74,0.994622,-8.737,0.994622,-8.737,0.103565,-98.74
4.12500000,0.103689,-98.75,0.994610,-8.748,0.994610,-8.748,0.103689,-98.75
4.13000000,0.103814,-98.76,0.994597,-8.758,0.994597,-8.758,0.103814,-98.76
4.13500000,0.103938,-98.77,0.994584,-8.769,0.994584,-8.769,0.103938,-98.77
4.14000000,0.104062,-98.78,0.994571,-8.779,0.994571,-8.779,0.104062,-98.78
4.14500000,0.104186,-98.79,0.994558,-8.790,0.994558,-8.790,0.104186,-98.79
4.15000000,0.104310,-98.80,0.994545,-8.800,0.994545,-8.800,0.104310,-98.80
4.15500000,0.104434,-98.81,0.994532,-8.811,0.994532,-8.811,0.104434,-98.81
4.16000000,0.104558,-98.83,0.994519,-8.821,0.994519,-8.821,0.104558,-98.83
4.16500000,0.104682,-98.84,0.994506,-8.832,0.994506,-8.832,0.104682,-98.84
4.17000000,0.104806,-98.85,0.994493,-8.842,0.994493,-8.842,0.104806,-98.85
4.17500000,0.104930,-98.86,0.994480,-8.853,0.994480,-8.853,0.104930,-98.86
4.18000000,0.105054,-98.87,0.994466,-8.864,0.994466,-8.864,0.105054,-98.87
4.18500000,0.105178,-98.88,0.994453,-8.874,0.994453,-8.874,0.105178,-98.88
4.19000000,0.105302,-98.89,0.994440,-8.885,0.994440,-8.885,0.105302,-98.89
4.19500000,0.105426,-98.90,0.994427,-8.895,0.994427,-8.895,0.105426,-98.90
4.20000000,0.105550,-98.91,0.994414,-8.906,0.994414,-8.906,0.105550,-98.91
4.20500000,0.105674,-98.92,0.994401,-8.916,0.994401,-8.916,0.105674,-98.92
4.21000000,0.105798,-98.93,0.994388,-8.927,0.994388,-8.927,0.105798,-98.93
4.21500000,0.105922,-98.94,0.994374,-8.937,0.994374,-8.937,0.105922,-98.94
4.22000000,0.106046,-98.95,0.994361,-8.948,0.994361,-8.948,0.106046,-98.95
4.22500000,0.106170,-98.96,0.994348,-8.958,0.994348,-8.958,0.106170,-98.96
4.23000000,0.106294,-98.97,0.994335,-8.969,0.994335,-8.969,0.106294,-98.97
4.23500000,0.106418,-98.98,0.994322,-8.979,0.994322,-8.979,0.106418,-98.98
4.24000000,0.106542,-98.99,0.994308,-8.990,0.994308,-8.990,0.106542,-98.99
4.24500000,0.106665,-99.01,0.994295,-9.000,0.994295,-9.000,0.106665,-99.01
4.25000000,0.106789,-99.02,0.994282,-9.011,0.994282,-9.011,0.106789,-99.02
4.25500000,0.106913,-99.03,0.994268,-9.021,0.994268,-9.021,0.106913,-99.03
4.26000000,0.107037,-99.04,0.994255,-9.032,0.994255,-9.032,0.107037,-99.04
4.26500000,0.107161,-99.05,0.994242,-9.043,0.994242,-9.043,0.107161,-99.05
4.27000000,0.107285,-99.06,0.994228,-9.053,0.994228,-9.053,0.107285,-99.06
4.27500000,0.107409,-99.07,0.994215,-9.064,0.994215,-9.064,0.107409,-99.07
4.28000000,0.107533,-99.08,0.994202,-9.074,0.994202,-9.074,0.107533,-99.08
4.28500000,0.107656,-99.09,0.994188,-9.085,0.994188,-9.085,0.107656,-99.09
4.29000000,0.107780,-99.10,0.994175,-9.095,0.994175,-9.095,0.107780,-99.10
4.29500000,0.107904,-99.11,0.994162,-9.106,0.994162,-9.106,0.107904,-99.11
4.30000000,0.108028,-99.12,0.994148,-9.116,0.994148,-9.116,0.108028,-99.12
4.30500000,0.108152,-99.13,0.994135,-9.127,0.994135,-9.127,0.108152,-99.13
4.31000000,0.108275,-99.14,0.994121,-9.137,0.994121,-9.137,0.108275,-99.14
4.31500000,0.108399,-99.15,0.994108,-9.148,0.994108,-9.148,0.108399,-99.15
4.32000000,0.108523,-99.16,0.994094,-9.158,0.994094,-9.158,0.108523,-99.16
